max_superdroplets,time_s,metric,n_members,estimate,95ci_low,95ci_high,95ci_half_width,accuracy_margin,precision_margin,accuracy_pass,precision_pass
512,600.0,ensemble_mean_l1_bins_250,20,0.11191345501915742,0.13015242586105202,0.19448924367995257,0.032168408909450275,0.05,0.01,False,False
512,600.0,ensemble_mean_l1_bins_500,20,0.16262397692596445,0.18807363124949592,0.26986844256852405,0.040897405659514066,0.05,0.01,False,False
512,600.0,ensemble_mean_l1_bins_1000,20,0.22396404750711782,0.2640029743458419,0.36396489689694866,0.049980961275553376,0.05,0.01,False,False
512,600.0,golovin_relative_error_radius_moment_0_m3,20,0.026764237147665588,0.0031969820091322723,0.0503314922861989,0.023567255138533316,0.05,0.025,False,True
512,600.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.054838783962896806,-0.1351604781907524,0.02548291026495879,0.0803216942278556,0.1,0.05,False,False
512,1200.0,ensemble_mean_l1_bins_250,20,0.12776566657545596,0.14052420213578198,0.2116571919681154,0.0355664949161667,0.05,0.01,False,False
512,1200.0,ensemble_mean_l1_bins_500,20,0.17605846373947778,0.1999122770255212,0.28637136088351195,0.04322954192899538,0.05,0.01,False,False
512,1200.0,ensemble_mean_l1_bins_1000,20,0.24609745262510682,0.28357840890695585,0.38287056373577233,0.04964607741440824,0.05,0.01,False,False
512,1200.0,golovin_relative_error_radius_moment_0_m3,20,0.04064632032194746,0.01829713782393089,0.06299550281996404,0.022349182498016575,0.05,0.025,False,True
512,1200.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.08181608703482533,-0.16498587689286867,0.001353702823218006,0.08316978985804334,0.1,0.05,False,False
512,1800.0,ensemble_mean_l1_bins_250,20,0.1376836366131996,0.1457490611571142,0.21278033401587054,0.03351563642937817,0.05,0.01,False,False
512,1800.0,ensemble_mean_l1_bins_500,20,0.1858867192725692,0.20819961133868622,0.2860990742026732,0.0389497314319935,0.05,0.01,False,False
512,1800.0,ensemble_mean_l1_bins_1000,20,0.23902319560697163,0.28230134138512064,0.38502499541154817,0.05136182701321376,0.05,0.01,False,False
512,1800.0,golovin_relative_error_radius_moment_0_m3,20,0.032439255750382576,0.007581461072052521,0.05729705042871263,0.024857794678330054,0.05,0.025,False,True
512,1800.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.10659387236561649,-0.18959064406205103,-0.023597100669181942,0.08299677169643455,0.1,0.05,False,False
512,2400.0,ensemble_mean_l1_bins_250,20,0.11980411871381959,0.13397024744614333,0.21297730740848506,0.03950352998117086,0.05,0.01,False,False
512,2400.0,ensemble_mean_l1_bins_500,20,0.18721944503290802,0.210169673236669,0.3002803694348397,0.04505534809908536,0.05,0.01,False,False
512,2400.0,ensemble_mean_l1_bins_1000,20,0.26044578550626335,0.29915950575606104,0.4053561889778891,0.053098341610914035,0.05,0.01,False,False
512,2400.0,golovin_relative_error_radius_moment_0_m3,20,0.03983484868256614,0.012802126940544594,0.06686757042458769,0.027032721742021544,0.05,0.025,False,False
512,2400.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.1589381482359402,-0.2512844608932021,-0.06659183557867829,0.09234631265726191,0.1,0.05,False,False
512,3000.0,ensemble_mean_l1_bins_250,20,0.17760260647587872,0.17692941046499433,0.2742918278610047,0.048681208698005185,0.05,0.01,False,False
512,3000.0,ensemble_mean_l1_bins_500,20,0.21885484790996212,0.24014752453829907,0.34968902216732106,0.054770748814510994,0.05,0.01,False,False
512,3000.0,ensemble_mean_l1_bins_1000,20,0.29835547304295407,0.34477383251300914,0.46820554349240806,0.06171585548969946,0.05,0.01,False,False
512,3000.0,golovin_relative_error_radius_moment_0_m3,20,0.03785770431415514,0.008322685829122208,0.06739272279918807,0.029535018485032927,0.05,0.025,False,False
512,3000.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.20391446409983177,-0.311745689778816,-0.09608323842084752,0.10783122567898423,0.1,0.05,False,False
512,3600.0,ensemble_mean_l1_bins_250,20,0.22327470521189466,0.23487748220396037,0.32731464875239213,0.04621858327421588,0.05,0.01,False,False
512,3600.0,ensemble_mean_l1_bins_500,20,0.2613930311810586,0.29420412258371825,0.40865943145538913,0.05722765443583544,0.05,0.01,False,False
