ensemble_size,max_superdroplets,time_s,metric,full50_point_estimate,projected_95ci_low,projected_95ci_high,projected_95ci_half_width,accuracy_margin,precision_margin,accuracy_pass,precision_pass
5,4096,600.0,ensemble_mean_l1_bins_500,0.0345025546569354,0.09687761444414078,0.14570950195541885,0.024415943755639033,0.05,0.01,False,False
5,4096,600.0,golovin_relative_error_radius_moment_0_m3,0.002792208647597505,-0.02606569431378254,0.03165011160897755,0.028857902961380043,0.05,0.025,True,False
5,4096,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.009909526332619687,-0.07387536341187888,0.05405631074663951,0.0639658370792592,0.05,0.05,False,False
5,4096,1200.0,ensemble_mean_l1_bins_500,0.03920027665210171,0.1010223786075269,0.15067328286712106,0.02482545212979708,0.05,0.01,False,False
5,4096,1200.0,golovin_relative_error_radius_moment_0_m3,0.0008259028811242875,-0.02934646669397398,0.030998272456222557,0.03017236957509827,0.05,0.025,True,False
5,4096,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0012935930614379988,-0.10795490801475227,0.10536772189187626,0.10666131495331427,0.05,0.05,False,False
5,4096,1800.0,ensemble_mean_l1_bins_500,0.03735573768346087,0.10509888605895372,0.15488938617764972,0.024895250059348,0.05,0.01,False,False
5,4096,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0019209507776079882,-0.03592758854343622,0.032085686988220244,0.03400663776582823,0.05,0.025,True,False
5,4096,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0032116335628440294,-0.12989119588611733,0.12346792876042927,0.1266795623232733,0.05,0.05,False,False
5,4096,2400.0,ensemble_mean_l1_bins_500,0.040861668925335486,0.1126928915320744,0.16350806558015665,0.025407587024041126,0.05,0.01,False,False
5,4096,2400.0,golovin_relative_error_radius_moment_0_m3,0.0009113492354838625,-0.03563264930502711,0.03745534777599483,0.03654399854051097,0.05,0.025,True,False
5,4096,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006056051761185301,-0.14567061477777365,0.13355851125540308,0.13961456301658837,0.05,0.05,False,False
5,4096,3000.0,ensemble_mean_l1_bins_500,0.04968980533522473,0.129562244522027,0.18772325374326776,0.02908050461062038,0.05,0.01,False,False
5,4096,3000.0,golovin_relative_error_radius_moment_0_m3,0.0017505601434570429,-0.035413097593167145,0.03891421788008123,0.03716365773662419,0.05,0.025,True,False
5,4096,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.0033845823704054335,-0.18465331658718037,0.19142248132799122,0.1880378989575858,0.05,0.05,False,False
