ensemble_size,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,full50_point_difference_lower_minus_upper,projected_95ci_low,projected_95ci_high,equivalence_margin,equivalence_pass
5,16384,32768,1200.0,golovin_relative_error_radius_moment_0_m3,0.0040571288564103655,-0.011155223540485423,0.019269481253306152,0.05,True
5,16384,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.009304513644161018,-0.052369800435330176,0.07097882772365222,0.05,False
5,16384,32768,1800.0,ensemble_mean_l1_bins_500,0.0072090668655704175,0.003178655911949214,0.03472129726094462,0.01,False
5,16384,32768,1800.0,golovin_relative_error_radius_moment_0_m3,0.0034602455734436075,-0.014856674079578512,0.02177716522646573,0.05,True
5,16384,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.007117916265123314,-0.06478561806777604,0.07902145059802267,0.05,False
5,16384,32768,2400.0,ensemble_mean_l1_bins_500,0.00751030049743337,0.005547636446918195,0.03806377759318887,0.01,False
5,16384,32768,2400.0,golovin_relative_error_radius_moment_0_m3,0.0024852759826798354,-0.01599876380647321,0.02096931577183288,0.05,True
5,16384,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.009559972069699996,-0.06772656313356759,0.08684650727296758,0.05,False
5,16384,32768,3000.0,ensemble_mean_l1_bins_500,0.0021359369937048803,0.002878426754925853,0.04300717999598769,0.01,False
5,16384,32768,3000.0,golovin_relative_error_radius_moment_0_m3,0.002119471252625711,-0.016746114657804248,0.020985057163055668,0.05,True
5,16384,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.007043881161207308,-0.08408466566162072,0.09817242798403535,0.05,False
5,16384,32768,3600.0,ensemble_mean_l1_bins_500,0.005348978564942396,0.0034258712751402847,0.04940286060608408,0.01,False
5,16384,32768,3600.0,golovin_relative_error_radius_moment_0_m3,0.002085467647579744,-0.017057884243923675,0.021228819539083163,0.05,True
5,16384,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006194628109735574,-0.1276621053434393,0.11527284912396817,0.05,False
5,32768,65536,600.0,ensemble_mean_l1_bins_500,0.004128061565405553,0.0015227283424530452,0.023653926688721745,0.01,False
5,32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,0.002110027418174125,-0.007154624784488324,0.011374679620836575,0.05,True
5,32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005308097953690396,-0.03194621191910316,0.021330016011722366,0.05,True
5,32768,65536,1200.0,ensemble_mean_l1_bins_500,0.0033165862281304154,0.0017006774289884518,0.0234049097980303,0.01,False
5,32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,-0.00021531732888159017,-0.012212055191948795,0.011781420534185615,0.05,True
5,32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005829066211151308,-0.047299182898885565,0.035641050476582954,0.05,True
