ensemble_size,metric,worst_analytical_bound_over_margin,worst_precision_half_width_over_margin,worst_adjacent_bound_over_margin,worst_formal_gate_ratio,all_target_triple_gates_pass
5,ensemble_mean_l1_bins_500,0.8077410087750233,0.6487072832810927,1.8023046307996602,1.8023046307996602,False
5,golovin_relative_error_radius_moment_0_m3,0.1563323050331645,0.29858094691352444,0.1594712821180723,0.29858094691352444,True
5,golovin_relative_error_radius_moment_6_um6_m3,0.8319437632448651,0.6551029133511029,0.819207769509714,0.8319437632448651,True
6,ensemble_mean_l1_bins_500,0.737873354755399,0.5882671870816055,1.6390343097502227,1.6390343097502227,False
6,golovin_relative_error_radius_moment_0_m3,0.13462232846599773,0.25235610240631434,0.140465525321598,0.25235610240631434,True
6,golovin_relative_error_radius_moment_6_um6_m3,0.7305239284600107,0.5536830785662485,0.7337523507431888,0.7337523507431888,True
7,ensemble_mean_l1_bins_500,0.6902863415818412,0.5564455843050936,1.5164071853690406,1.5164071853690406,False
7,golovin_relative_error_radius_moment_0_m3,0.12055133680548426,0.2223961713323598,0.12733509754839933,0.2223961713323598,True
7,golovin_relative_error_radius_moment_6_um6_m3,0.6647902025366675,0.48794935264290545,0.673379791322436,0.673379791322436,True
8,ensemble_mean_l1_bins_500,0.6524529230219146,0.5330110745849288,1.4188029117332357,1.4188029117332357,False
8,golovin_relative_error_radius_moment_0_m3,0.11051959683245335,0.20103660795579584,0.11755531873632724,0.20103660795579584,True
8,golovin_relative_error_radius_moment_6_um6_m3,0.6179261533046608,0.44108530341089874,0.6277260822819922,0.6277260822819922,True
9,ensemble_mean_l1_bins_500,0.6164975168680471,0.4989414520112209,1.3554666144480114,1.3554666144480114,False
9,golovin_relative_error_radius_moment_0_m3,0.10291286604227716,0.18484036993148234,0.10990045665362301,0.18484036993148234,True
9,golovin_relative_error_radius_moment_6_um6_m3,0.5823907220431054,0.40554987214934324,0.5915989698522315,0.5915989698522315,True
10,ensemble_mean_l1_bins_500,0.5916631992406888,0.4832096537402816,1.292439103991104,1.292439103991104,False
10,golovin_relative_error_radius_moment_0_m3,0.09689198759136479,0.17202072596138487,0.1036940982906423,0.17202072596138487,True
10,golovin_relative_error_radius_moment_6_um6_m3,0.5542637226489777,0.3774228727552157,0.5620656428587174,0.5620656428587174,True
11,ensemble_mean_l1_bins_500,0.5656413546421271,0.4586671382604811,1.2243027236996311,1.2243027236996311,False
11,golovin_relative_error_radius_moment_0_m3,0.09197376968503126,0.16154886491310225,0.0985281595615978,0.16154886491310225,True
11,golovin_relative_error_radius_moment_6_um6_m3,0.5312878872788637,0.35444703738510164,0.5373246956439709,0.5373246956439709,True
12,ensemble_mean_l1_bins_500,0.5441357245157203,0.4369398032345652,1.189114511834674,1.189114511834674,False
12,golovin_relative_error_radius_moment_0_m3,0.087858353542399,0.15278632798971642,0.09413972843210355,0.15278632798971642,True
12,golovin_relative_error_radius_moment_6_um6_m3,0.5120624024440287,0.33522155255026664,0.5161989318539156,0.5161989318539156,True
13,ensemble_mean_l1_bins_500,0.5266889876020344,0.4252771439101613,1.140455649851728,1.140455649851728,False
13,golovin_relative_error_radius_moment_0_m3,0.08434870756681771,0.14531359585687967,0.09035066335842762,0.14531359585687967,True
13,golovin_relative_error_radius_moment_6_um6_m3,0.49566681980046645,0.31882596990670437,0.4978814609707472,0.4978814609707472,True
14,ensemble_mean_l1_bins_500,0.5124756023707674,0.4139495289371039,1.09477106302531,1.09477106302531,False
14,golovin_relative_error_radius_moment_0_m3,0.08130940438320869,0.13884231678212156,0.08703534359743065,0.13884231678212156,True
14,golovin_relative_error_radius_moment_6_um6_m3,0.48146847989028496,0.3046276299965229,0.4817978319486942,0.4817978319486942,True
15,ensemble_mean_l1_bins_500,0.49777838599047886,0.39680109513141726,1.0598738164324149,1.0598738164324149,False
