case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
28	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m008	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	8	not_applicable	1956953606296209611	golovin_controlled_N001024_v1
29	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m009	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	9	not_applicable	2618832516911151638	golovin_controlled_N001024_v1
30	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m010	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	10	not_applicable	4166047369804868107	golovin_controlled_N001024_v1
31	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m011	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	11	not_applicable	9811146581406866409	golovin_controlled_N001024_v1
32	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m012	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	12	not_applicable	9247231400426314786	golovin_controlled_N001024_v1
33	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m013	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	13	not_applicable	14948382485859190884	golovin_controlled_N001024_v1
34	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m014	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	14	not_applicable	15927390958544611164	golovin_controlled_N001024_v1
35	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m015	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	15	not_applicable	4749589779964416480	golovin_controlled_N001024_v1
36	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m016	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	16	not_applicable	12605868795336325265	golovin_controlled_N001024_v1
37	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m017	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	17	not_applicable	15118430071661272391	golovin_controlled_N001024_v1
38	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m018	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	18	not_applicable	18304252410587937340	golovin_controlled_N001024_v1
39	golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m019	golovin_controlled_resolution_convergence_v1	controlled	golovin	1024	0.1	300.0	3600.0	1	19	not_applicable	18220675936036869768	golovin_controlled_N001024_v1
40	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m000	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	0	not_applicable	10478383125753211296	golovin_controlled_N002048_v1
41	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m001	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	1	not_applicable	13690490968258629595	golovin_controlled_N002048_v1
42	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m002	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	2	not_applicable	4972793370574595309	golovin_controlled_N002048_v1
43	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m003	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	3	not_applicable	6605298338730085758	golovin_controlled_N002048_v1
44	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m004	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	4	not_applicable	6230596935681438032	golovin_controlled_N002048_v1
45	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m005	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	5	not_applicable	15809982046271788721	golovin_controlled_N002048_v1
46	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m006	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	6	not_applicable	12186482780547008196	golovin_controlled_N002048_v1
47	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m007	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	7	not_applicable	2262484997776534367	golovin_controlled_N002048_v1
48	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m008	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	8	not_applicable	3046352004111080470	golovin_controlled_N002048_v1
49	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m009	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	9	not_applicable	6411894206303646123	golovin_controlled_N002048_v1
50	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m010	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	10	not_applicable	13870507787136048422	golovin_controlled_N002048_v1
