lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_n_members,upper_n_members,estimated_difference_lower_minus_upper,95ci_low,95ci_high,equivalence_margin,equivalence_pass
1024,2048,1800.0,ensemble_mean_l1_bins_500,20,20,0.01946054068169638,0.0017865436546115802,0.07492776819353625,0.01,False
1024,2048,1800.0,ensemble_mean_l1_bins_1000,20,20,0.05059429621928857,0.019183382232364075,0.11172960689044574,0.01,False
1024,2048,1800.0,golovin_relative_error_radius_moment_0_m3,20,20,-0.021746343322973396,-0.05066346086173292,0.00717077421578613,0.05,False
1024,2048,1800.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,0.023631038710745893,-0.09601540981996465,0.14327748724145642,0.1,False
1024,2048,2400.0,ensemble_mean_l1_bins_250,20,20,0.035760376495687626,0.01570294009386496,0.07826614581898883,0.01,False
1024,2048,2400.0,ensemble_mean_l1_bins_500,20,20,0.05457930532948718,0.022053914832888828,0.10443791678204259,0.01,False
1024,2048,2400.0,ensemble_mean_l1_bins_1000,20,20,0.06896511483367718,0.03679204837032052,0.13148239863427374,0.01,False
1024,2048,2400.0,golovin_relative_error_radius_moment_0_m3,20,20,-0.023235789059383897,-0.05489240815559736,0.008420830036829568,0.05,False
1024,2048,2400.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.0020402660327580417,-0.13451553163373306,0.130434999568217,0.1,False
1024,2048,3000.0,ensemble_mean_l1_bins_250,20,20,0.021098922046098825,0.00036913587704633734,0.0742485453137976,0.01,False
1024,2048,3000.0,ensemble_mean_l1_bins_500,20,20,0.04239978569863437,0.014047291651560951,0.10058200893620944,0.01,False
1024,2048,3000.0,ensemble_mean_l1_bins_1000,20,20,0.048845097551351385,0.01900975347808831,0.12515977312467325,0.01,False
1024,2048,3000.0,golovin_relative_error_radius_moment_0_m3,20,20,-0.02832778064349631,-0.06095222834470457,0.00429666705771195,0.05,False
1024,2048,3000.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,0.004434483609663016,-0.14999807787143563,0.15886704509076163,0.1,False
1024,2048,3600.0,ensemble_mean_l1_bins_250,20,20,0.045955266846663345,0.006197157597280654,0.11624339185834193,0.01,False
1024,2048,3600.0,ensemble_mean_l1_bins_500,20,20,0.038716499162094575,0.016185976574312075,0.12914650563058963,0.01,False
1024,2048,3600.0,ensemble_mean_l1_bins_1000,20,20,0.0499618931464437,0.021000551200776468,0.15459501227998812,0.01,False
1024,2048,3600.0,golovin_relative_error_radius_moment_0_m3,20,20,-0.02617919485890894,-0.06011389668287971,0.007755506965061831,0.05,False
1024,2048,3600.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,0.00145583671588655,-0.20105233957668897,0.2039640130084621,0.1,False
2048,4096,600.0,ensemble_mean_l1_bins_250,20,20,0.012664389828828136,-0.006017302909073494,0.04686349936408557,0.01,False
2048,4096,600.0,ensemble_mean_l1_bins_500,20,20,0.012652619784495243,-0.003892144091782167,0.05332597359749047,0.01,False
2048,4096,600.0,ensemble_mean_l1_bins_1000,20,20,0.023455732623724093,0.004124660462256296,0.07362353610511256,0.01,False
2048,4096,600.0,golovin_relative_error_radius_moment_0_m3,20,20,0.0032027219402480708,-0.013615197097874605,0.020020640978370745,0.05,True
2048,4096,600.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.010423338671707994,-0.04911557952939123,0.028268902185975248,0.1,True
2048,4096,1200.0,ensemble_mean_l1_bins_250,20,20,0.014092036180401002,0.0013019063527223342,0.048714407202557215,0.01,False
2048,4096,1200.0,ensemble_mean_l1_bins_500,20,20,0.014385575459306452,-3.181390302013185e-05,0.05726426957861332,0.01,False
2048,4096,1200.0,ensemble_mean_l1_bins_1000,20,20,0.043179821602067125,0.020140709031262458,0.08748596789213206,0.01,False
2048,4096,1200.0,golovin_relative_error_radius_moment_0_m3,20,20,0.004339927454788178,-0.012391410681243895,0.021071265590820253,0.05,True
2048,4096,1200.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.018466376053720878,-0.07621127054826503,0.039278518440823265,0.1,True
2048,4096,1800.0,ensemble_mean_l1_bins_250,20,20,0.014851854803463314,-0.0008096464454987012,0.046562377331096035,0.01,False
2048,4096,1800.0,ensemble_mean_l1_bins_500,20,20,0.021443622750435903,0.002940383562523534,0.05659453590804544,0.01,False
2048,4096,1800.0,ensemble_mean_l1_bins_1000,20,20,0.03244559009262074,0.011535467899519987,0.08112504197332623,0.01,False
2048,4096,1800.0,golovin_relative_error_radius_moment_0_m3,20,20,0.0024048781489768188,-0.016560471625772646,0.021370227923726285,0.05,True
2048,4096,1800.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.03297080397802411,-0.11751028360503268,0.05156867564898446,0.1,False
2048,4096,2400.0,ensemble_mean_l1_bins_250,20,20,0.02327415096087518,0.004129415950468799,0.05109104466783339,0.01,False
2048,4096,2400.0,ensemble_mean_l1_bins_500,20,20,0.02209044542630978,0.005512625439698507,0.06443461959665267,0.01,False
2048,4096,2400.0,ensemble_mean_l1_bins_1000,20,20,0.03470605942071092,0.01609572650816042,0.08598784401581697,0.01,False
2048,4096,2400.0,golovin_relative_error_radius_moment_0_m3,20,20,0.001918082354024231,-0.018427856969004917,0.02226402167705338,0.05,True
2048,4096,2400.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.03908383722209034,-0.13536552295554533,0.057197848511364655,0.1,False
2048,4096,3000.0,ensemble_mean_l1_bins_250,20,20,0.032797497786163865,0.01125544780627597,0.06399214643839288,0.01,False
2048,4096,3000.0,ensemble_mean_l1_bins_500,20,20,0.034968847428330785,0.014924978737561318,0.0777111050667432,0.01,False
2048,4096,3000.0,ensemble_mean_l1_bins_1000,20,20,0.05609255660163076,0.03299821450271611,0.11151042359604767,0.01,False
2048,4096,3000.0,golovin_relative_error_radius_moment_0_m3,20,20,0.002642858776744167,-0.018227605028204127,0.02351332258169246,0.05,True
2048,4096,3000.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.03422263882544979,-0.15081704821858555,0.08237177056768598,0.1,False
2048,4096,3600.0,ensemble_mean_l1_bins_250,20,20,0.025314281230347062,0.006952991297431464,0.07809094530657122,0.01,False
2048,4096,3600.0,ensemble_mean_l1_bins_500,20,20,0.054296729517272754,0.02354337159465739,0.10382274237259471,0.01,False
2048,4096,3600.0,ensemble_mean_l1_bins_1000,20,20,0.06896933681304179,0.039882246166415405,0.13249097909662888,0.01,False
