case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
26	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	6	not_applicable	1331966235394635580	golovin_fixed10_screen_N016384_v1
27	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	7	not_applicable	15314559316584261693	golovin_fixed10_screen_N016384_v1
28	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	8	not_applicable	657891575694041982	golovin_fixed10_screen_N016384_v1
29	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	9	not_applicable	6987282758358410744	golovin_fixed10_screen_N016384_v1
30	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m000	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	0	not_applicable	12805062651818743695	golovin_fixed10_screen_N032768_v1
31	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m001	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	1	not_applicable	1027943644623601826	golovin_fixed10_screen_N032768_v1
32	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m002	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	2	not_applicable	5950163421383157906	golovin_fixed10_screen_N032768_v1
33	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m003	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	3	not_applicable	7069911424374869071	golovin_fixed10_screen_N032768_v1
34	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m004	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	4	not_applicable	14519632932396464141	golovin_fixed10_screen_N032768_v1
35	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m005	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	5	not_applicable	17040640333181195995	golovin_fixed10_screen_N032768_v1
36	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	6	not_applicable	10808469969421794249	golovin_fixed10_screen_N032768_v1
37	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	7	not_applicable	9957681523574578458	golovin_fixed10_screen_N032768_v1
