time_s,n_superdroplet_records,number_concentration_cm3,liquid_water_gm3,relative_liquid_mass_drift,max_radius_um,mass_fraction_r_ge_40um,mass_fraction_r_ge_1000um,golovin_l1_relative
0.0,4096,8.388608000000001,0.9982532433518514,0.0,74.99683380126953,0.3422072943035666,0.0,0.10358592592366253
300.00001192092896,4096,5.464217173362786,0.9982532354172446,-7.948490865494762e-09,114.75631713867188,0.6299958564819346,0.0,0.09040605437686883
600.0000238418579,4096,3.453899518737608,0.9982532414244903,-1.9307335730189834e-09,153.01341247558594,0.7876440653391807,0.0,0.05577017274867865
899.9999761581421,4096,2.239588169619419,0.998253244179983,8.295806264158045e-10,214.61041259765625,0.8685948528190783,0.0,0.05548839144942529
1200.0000476837158,4096,1.428848992522934,0.9982532458215045,2.4739745807522695e-09,298.00897216796875,0.9179190083555493,0.0,0.03307288608028328
1500.0,4096,0.9042845846936577,0.9982532426795937,-6.734339752512142e-10,353.1772766113281,0.9498222918529876,0.0,0.055648953996955686
1799.9999523162842,4096,0.5761498470722636,0.998253243924167,5.733171715149865e-10,465.7539367675781,0.9682991689134675,0.0,0.08508802708911478
2099.9999046325684,4096,0.36583092984890697,0.9982532420395973,-1.3145502464340098e-09,665.3006591796875,0.9801050987148049,0.0,0.059354988836643974
2400.0000953674316,4096,0.23402835525033236,0.9982532396739251,-3.6843619266591077e-09,868.5531616210938,0.9874782210115051,0.0,0.06590335666553468
2700.000047683716,4096,0.14802289014440487,0.9982532444764868,1.126603255130476e-09,1161.943115234375,0.9920685898790333,0.011062357972397348,0.060313534010443905
3000.0,4096,0.09406914034925963,0.9982532422363575,-1.1174458025564604e-09,1725.5023193359375,0.9949767902881522,0.1444850774877568,0.06090153551590875
3299.999952316284,4096,0.0599824560798525,0.9982532372211298,-6.141449238050711e-09,2195.88720703125,0.9967846050456451,0.3382300185921643,0.06612817783592159
3599.9999046325684,4096,0.03816891000205555,0.9982532415486997,-1.8063068818463535e-09,2688.211669921875,0.9979502966150846,0.5614981659732419,0.05205010240214685
