lower_ensemble_size,upper_ensemble_size,max_superdroplets,time_s,metric,lower_estimate,upper_estimate,absolute_point_change,maximum_allowed_point_change,point_stability_pass
80,100,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0034023822993637875,-0.002541858617251641,0.0008605236821121465,0.01,True
80,100,65536,1800.0,ensemble_mean_l1,0.01066980942340354,0.01022979846994103,0.0004400109534625097,0.01,True
80,100,65536,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0007306855920555424,-0.0006974590383142853,3.322655374125708e-05,0.01,True
80,100,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0036182566849304472,-0.0029212121998885374,0.0006970444850419098,0.01,True
80,100,65536,2400.0,ensemble_mean_l1,0.00962733027527705,0.008654185558312521,0.0009731447169645281,0.01,True
80,100,65536,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0009883480637174035,-0.000812743383218264,0.00017560468049913956,0.01,True
80,100,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005243534786473693,-0.003803361689265714,0.001440173097207979,0.01,True
80,100,65536,3000.0,ensemble_mean_l1,0.009123707843057603,0.007762083981354202,0.0013616238617034006,0.01,True
80,100,65536,3000.0,golovin_relative_error_radius_moment_0_m3,-0.001115074388202096,-0.001040449142966453,7.462524523564303e-05,0.01,True
80,100,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.004802201611894269,-0.004435763002215522,0.0003664386096787469,0.01,True
80,100,65536,3600.0,ensemble_mean_l1,0.010445352261212277,0.00982531963428725,0.000620032626925027,0.01,True
80,100,65536,3600.0,golovin_relative_error_radius_moment_0_m3,-0.0013930295977548648,-0.0012849210847544535,0.00010810851300041124,0.01,True
80,100,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005388367181719593,-0.003122383453588584,0.002265983728131009,0.01,True
80,100,131072,600.0,ensemble_mean_l1,0.004668191660158407,0.0039187725903963725,0.0007494190697620341,0.01,True
80,100,131072,600.0,golovin_relative_error_radius_moment_0_m3,-0.00019225215018226494,8.155013580061543e-05,0.00027380228598288035,0.01,True
80,100,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0006851764275954797,-0.0010348741722900124,0.00034969774469453276,0.01,True
