time_s,n_superdroplet_records,number_concentration_cm3,liquid_water_gm3,relative_liquid_mass_drift,max_radius_um,mass_fraction_r_ge_40um,mass_fraction_r_ge_1000um,golovin_l1_relative
0.0,4096,8.388608000000001,0.9982532433518514,0.0,74.99683380126953,0.3422072943035666,0.0,nan
300.00001192092896,4096,2.0289852111454465,0.9982532367879416,-6.575395339325496e-09,236.06996154785156,0.8735959402205112,0.0,nan
600.0000238418579,4096,0.2644940001751841,0.9982532413047392,-2.0506941700304537e-09,572.2819213867188,0.9876204815623191,0.0,nan
899.9999761581421,4096,0.03822517495767404,0.9982532419468364,-1.4074734711044812e-09,1265.500732421875,0.9985106640837238,0.06305503761810845,nan
1200.0000476837158,4096,0.0065962715421084015,0.9982532427425357,-6.103818561697949e-10,1946.866943359375,0.999761105289953,0.47105374579449905,nan
1500.0,4096,0.001512639857096154,0.9982532441813433,8.309433141562295e-10,2492.31640625,0.9999487329131209,0.7405927805221251,nan
1799.9999523162842,4096,0.00045377475708383296,0.998253243556079,2.0458501559517117e-10,2966.95849609375,0.9999866015204786,0.8753548264612903,nan
2099.9999046325684,4096,0.00017939910755750298,0.9982532425221406,-8.311625832035929e-10,3062.894287109375,0.999995947039781,0.9352709494101663,nan
2400.0000953674316,4096,8.8308971210334e-05,0.99825324417218,8.217639901886287e-10,3360.548583984375,0.9999986924711022,0.9637688686467922,nan
2700.000047683716,4096,5.3487882790837e-05,0.9982532415863208,-1.7686199171862427e-09,3383.7705078125,0.9999995587152302,0.980064867733732,nan
3000.0,4096,3.9232747289391e-05,0.9982532420089407,-1.345260569607376e-09,3410.765869140625,0.9999998346094563,0.9887887053067063,nan
3299.999952316284,4096,3.2601411150726e-05,0.9982532407839839,-2.5723607688377115e-09,3439.93505859375,0.9999999310936349,0.9938880688457417,nan
3599.9999046325684,4096,2.8502981162941e-05,0.9982532411605185,-2.1951672701803204e-09,3439.93505859375,0.9999999807528926,0.9962971469121301,nan
