max_superdroplets,time_s,metric,n_members,estimate,95ci_low,95ci_high,95ci_half_width,accuracy_margin,precision_margin,accuracy_pass,precision_pass
16384,600.0,ensemble_mean_l1_bins_250,100,0.010178960887758135,0.011018408435743629,0.01607455920004352,0.002528075382149945,0.05,0.01,True,True
16384,600.0,ensemble_mean_l1_bins_500,100,0.012978005772051575,0.01567612337222241,0.02111707932326219,0.0027204779755198912,0.05,0.01,True,True
16384,600.0,ensemble_mean_l1_bins_1000,100,0.019993487506310303,0.023914445872803797,0.02979275260451832,0.002939153365857261,0.05,0.01,True,True
16384,600.0,golovin_relative_error_radius_moment_0_m3,100,-0.0007968204323567285,-0.0027834403358969646,0.0011897994711835074,0.001986619903540236,0.05,0.025,True,True
16384,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0062275302372416285,0.0009744712959190794,0.011480589178564177,0.005253058941322549,0.05,0.05,True,True
16384,1200.0,ensemble_mean_l1_bins_250,100,0.008074248980933129,0.01019740470380675,0.015148674690532478,0.002475634993362864,0.05,0.01,True,True
16384,1200.0,ensemble_mean_l1_bins_500,100,0.012409113380922578,0.015737488885694997,0.020965990405090118,0.0026142507596975603,0.05,0.01,True,True
16384,1200.0,ensemble_mean_l1_bins_1000,100,0.018668300536743704,0.02317523463038387,0.029056878589453203,0.0029408219795346666,0.05,0.01,True,True
16384,1200.0,golovin_relative_error_radius_moment_0_m3,100,7.617933693271351e-07,-0.0024268142134109623,0.0024283378001496163,0.0024275760067802893,0.05,0.025,True,True
16384,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.00449356784004098,-0.0030122669228366053,0.011999402602918565,0.007505834762877585,0.05,0.05,True,True
16384,1800.0,ensemble_mean_l1_bins_250,100,0.012339466253088082,0.013814689070437328,0.018507895403378206,0.002346603166470439,0.05,0.01,True,True
16384,1800.0,ensemble_mean_l1_bins_500,100,0.017018045603016944,0.019375209078787904,0.024359735490722876,0.002492263205967486,0.05,0.01,True,True
16384,1800.0,ensemble_mean_l1_bins_1000,100,0.02077385021582545,0.025633840691227188,0.03148308327145104,0.0029246212901119246,0.05,0.01,True,True
16384,1800.0,golovin_relative_error_radius_moment_0_m3,100,0.0005079218349481351,-0.0021858074911979973,0.0032016511610942675,0.0026937293261461324,0.05,0.025,True,True
16384,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.002132683605922602,-0.006775662672138005,0.011041029883983209,0.008908346278060607,0.05,0.05,True,True
16384,2400.0,ensemble_mean_l1_bins_250,100,0.01154633103685412,0.013101315215302303,0.018034154873417172,0.0024664198290574348,0.05,0.01,True,True
16384,2400.0,ensemble_mean_l1_bins_500,100,0.015674728003110327,0.018457624649539622,0.023904749467803115,0.0027235624091317464,0.05,0.01,True,True
16384,2400.0,ensemble_mean_l1_bins_1000,100,0.022191581376003744,0.026870422174129934,0.032571485332283025,0.0028505315790765453,0.05,0.01,True,True
16384,2400.0,golovin_relative_error_radius_moment_0_m3,100,-0.0007673189508647094,-0.003570299155719499,0.00203566125399008,0.0028029802048547894,0.05,0.025,True,True
16384,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0036349686273946936,-0.005940219005652699,0.013210156260442087,0.009575187633047393,0.05,0.05,True,True
16384,3000.0,ensemble_mean_l1_bins_250,100,0.014589141111480105,0.015815434784135114,0.021861245888650373,0.0030229055522576296,0.05,0.01,True,True
16384,3000.0,ensemble_mean_l1_bins_500,100,0.018262908252486405,0.02197731371510219,0.028607117007836688,0.0033149016463672482,0.05,0.01,True,True
16384,3000.0,ensemble_mean_l1_bins_1000,100,0.025116242198040598,0.030828756754652343,0.03802609372551375,0.0035986684854307036,0.05,0.01,True,True
16384,3000.0,golovin_relative_error_radius_moment_0_m3,100,-0.0006312053664861328,-0.003503858437726529,0.0022414477047542633,0.002872653071240396,0.05,0.025,True,True
16384,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0003669763494485867,-0.011804027612567939,0.012537980311465111,0.012171003962016525,0.05,0.05,True,True
16384,3600.0,ensemble_mean_l1_bins_250,100,0.012475619058955556,0.015526066304463472,0.022863513958276318,0.003668723826906423,0.05,0.01,True,True
16384,3600.0,ensemble_mean_l1_bins_500,100,0.019371566829203414,0.0238645244743658,0.03148842960849863,0.003811952567066415,0.05,0.01,True,True
