max_superdroplets,time_s,metric,ensemble_size,sampling_method,random_subset_draws,full_ensemble_size,full_ensemble_estimate,subset_median,subset_95pct_low,subset_95pct_high,subset_95pct_half_width
16384,3600.0,ensemble_mean_l1_bins_500,5,random_subsets_without_replacement_from_complete_pool,2000,100,0.019371566829203414,0.08741644841237403,0.07687551419473186,0.09938585263203088,0.01125516921864951
16384,3600.0,golovin_relative_error_radius_moment_0_m3,5,random_subsets_without_replacement_from_complete_pool,2000,100,-0.0007455878494025003,-0.0008627235214396568,-0.012951052954310994,0.01226209111465982,0.012606572034485408
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,random_subsets_without_replacement_from_complete_pool,2000,100,0.008875670145944843,0.007785936775280056,-0.05483986333241292,0.07662481428478204,0.06573233880859748
16384,3600.0,ensemble_mean_l1_bins_500,10,random_subsets_without_replacement_from_complete_pool,2000,100,0.019371566829203414,0.06212711804424222,0.053995601133626496,0.07082497821206583,0.008414688539219669
16384,3600.0,golovin_relative_error_radius_moment_0_m3,10,random_subsets_without_replacement_from_complete_pool,2000,100,-0.0007455878494025003,-0.0008623524809087457,-0.009344994940572988,0.008289485418757746,0.008817240179665366
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,random_subsets_without_replacement_from_complete_pool,2000,100,0.008875670145944843,0.008334409046031676,-0.03727236311029747,0.05486275004301992,0.046067556576658696
16384,3600.0,ensemble_mean_l1_bins_500,20,random_subsets_without_replacement_from_complete_pool,2000,100,0.019371566829203414,0.04381179482768731,0.03827375397364942,0.050207783477059245,0.005967014751704913
16384,3600.0,golovin_relative_error_radius_moment_0_m3,20,random_subsets_without_replacement_from_complete_pool,2000,100,-0.0007455878494025003,-0.0007499046936055076,-0.006371901520081163,0.0054878494843101505,0.005929875502195657
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,20,random_subsets_without_replacement_from_complete_pool,2000,100,0.008875670145944843,0.008423629618074833,-0.02005320090721817,0.03959998305061787,0.02982659197891802
16384,3600.0,ensemble_mean_l1_bins_500,40,random_subsets_without_replacement_from_complete_pool,2000,100,0.019371566829203414,0.03097149000181878,0.02718766556836294,0.035089264327296796,0.003950799379466928
