collision_timestep_s,time_s,n_members,ensemble_mean_l1_bins_250,reference_ensemble_mean_l1_bins_250,bootstrap_95ci_low_bins_250,bootstrap_95ci_high_bins_250,timestep_equivalence_pass_bins_250,ensemble_mean_l1_bins_500,reference_ensemble_mean_l1_bins_500,bootstrap_95ci_low_bins_500,bootstrap_95ci_high_bins_500,timestep_equivalence_pass_bins_500,ensemble_mean_l1_bins_1000,reference_ensemble_mean_l1_bins_1000,bootstrap_95ci_low_bins_1000,bootstrap_95ci_high_bins_1000,timestep_equivalence_pass_bins_1000,absolute_difference_from_500_bins_250,absolute_difference_from_500_bins_500,absolute_difference_from_500_bins_1000
0.1,600.0,5,0.03585545684878432,0.03585545684878432,0.0,0.0,True,0.05211295327404916,0.05211295327404916,0.0,0.0,True,0.07884243444186245,0.07884243444186245,0.0,0.0,True,0.01625749642526484,0.0,0.02672948116781329
0.1,1200.0,5,0.04263324226264694,0.04263324226264694,0.0,0.0,True,0.05325830810401983,0.05325830810401983,0.0,0.0,True,0.07473214194207659,0.07473214194207659,0.0,0.0,True,0.010625065841372891,0.0,0.021473833838056754
0.1,1800.0,5,0.04016513068755056,0.04016513068755056,0.0,0.0,True,0.05831162038029618,0.05831162038029618,0.0,0.0,True,0.08359541467105937,0.08359541467105937,0.0,0.0,True,0.01814648969274562,0.0,0.02528379429076319
0.1,2400.0,5,0.04024799570764008,0.04024799570764008,0.0,0.0,True,0.06240853298775645,0.06240853298775645,0.0,0.0,True,0.08493963844855328,0.08493963844855328,0.0,0.0,True,0.02216053728011637,0.0,0.022531105460796827
0.1,3000.0,5,0.04284038657413319,0.04284038657413319,0.0,0.0,True,0.05827942567290483,0.05827942567290483,0.0,0.0,True,0.09100934809785664,0.09100934809785664,0.0,0.0,True,0.015439039098771645,0.0,0.03272992242495181
0.1,3600.0,5,0.06264401511462929,0.06264401511462929,0.0,0.0,True,0.08429341698248892,0.08429341698248892,0.0,0.0,True,0.11432009583173017,0.11432009583173017,0.0,0.0,True,0.02164940186785963,0.0,0.030026678849241248
0.25,600.0,5,0.035484748544734136,0.03585545684878432,-0.009271983002081381,0.008849657529766242,True,0.054469360580632474,0.05211295327404916,-0.00837237426463179,0.013467820541877092,False,0.08008643267889488,0.07884243444186245,-0.013975990250613107,0.018333352501231387,False,0.018984612035898338,0.0,0.02561707209826241
0.25,1200.0,5,0.042650490513802305,0.04263324226264694,-0.016806490618994294,0.01732384916643938,False,0.05893342849388909,0.05325830810401983,-0.014123655100869562,0.014831037542721387,False,0.07908403231303647,0.07473214194207659,-0.012142407822196027,0.014834562962752512,False,0.016282937980086787,0.0,0.020150603819147378
0.25,1800.0,5,0.038859840355882296,0.04016513068755056,-0.010238971429323,0.009785391036847536,False,0.060985033200575085,0.05831162038029618,-0.013049399976392748,0.0170399072896973,False,0.08991398172863989,0.08359541467105937,-0.009873610211133463,0.015271327777402477,False,0.02212519284469279,0.0,0.028928948528064803
0.25,2400.0,5,0.0387247325633494,0.04024799570764008,-0.014076330081278045,0.01093922432014778,False,0.06816548314277855,0.06240853298775645,-0.00912814051206376,0.009566231286482915,True,0.08898219274420667,0.08493963844855328,-0.009122932750235346,0.006653743673313603,True,0.029440750579429152,0.0,0.02081670960142812
0.25,3000.0,5,0.04333557321546539,0.04284038657413319,-0.01105832043614579,0.022163800440843165,False,0.06013424074883425,0.05827942567290483,-0.0104422638469318,0.016470351955420626,False,0.09781666230066226,0.09100934809785664,-0.009610392738245987,0.022081545858614743,False,0.01679866753336886,0.0,0.03768242155182801
0.25,3600.0,5,0.07146449754352188,0.06264401511462929,-0.008978879192522257,0.020502352139094085,False,0.0895806646436394,0.08429341698248892,-0.0034342515458019307,0.019032091682474217,False,0.12702698864326864,0.11432009583173017,-0.008685074190592279,0.02144638974436719,False,0.018116167100117514,0.0,0.037446323999629244
