collision_timestep_s,reference_collision_timestep_s,time_s,metric,n_common_streams,estimated_difference,ci_method,95ci_low,95ci_high,equivalence_margin,equivalence_pass
1.0,0.1,600.0,golovin_relative_error_radius_moment_0_m3,5,0.005449950746415122,student_common_stream_difference,-0.005123335860359343,0.016023237353189588,0.05,True
1.0,0.1,600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.015891495462163462,student_common_stream_difference,-0.043129591847254456,0.07491258277158137,0.1,True
1.0,0.1,1200.0,golovin_relative_error_radius_moment_0_m3,5,0.005253595669547928,student_common_stream_difference,-0.010435790446621358,0.020942981785717213,0.05,True
1.0,0.1,1200.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.009737548628182768,student_common_stream_difference,-0.10432123670094498,0.08484613944457944,0.1,False
1.0,0.1,1800.0,golovin_relative_error_radius_moment_0_m3,5,0.005282068435220166,student_common_stream_difference,-0.016653079045878108,0.02721721591631844,0.05,True
1.0,0.1,1800.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.0028717496247928852,student_common_stream_difference,-0.09568734114169557,0.08994384189210979,0.1,True
1.0,0.1,2400.0,golovin_relative_error_radius_moment_0_m3,5,0.0018070647192772516,student_common_stream_difference,-0.021821301601469945,0.02543543104002445,0.05,True
1.0,0.1,2400.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.0064471487801222695,student_common_stream_difference,-0.1011641010076513,0.11405839856789585,0.1,False
1.0,0.1,3000.0,golovin_relative_error_radius_moment_0_m3,5,0.0023567110187357352,student_common_stream_difference,-0.02051131449090462,0.02522473652837609,0.05,True
1.0,0.1,3000.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.06306071968767177,student_common_stream_difference,-0.02959997996738649,0.15572141934273004,0.1,False
1.0,0.1,3600.0,golovin_relative_error_radius_moment_0_m3,5,0.0026545155407529998,student_common_stream_difference,-0.020707006980223524,0.026016038061729526,0.05,True
1.0,0.1,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.05353971846675949,student_common_stream_difference,-0.03434373955445902,0.141423176487978,0.1,False
2.0,0.1,600.0,golovin_relative_error_radius_moment_0_m3,5,-0.004036226883803407,student_common_stream_difference,-0.013349680089053247,0.005277226321446432,0.05,True
2.0,0.1,600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.005942718224766464,student_common_stream_difference,-0.044428160109179285,0.05631359655871221,0.1,True
2.0,0.1,1200.0,golovin_relative_error_radius_moment_0_m3,5,0.007586322826470293,student_common_stream_difference,-0.0111497695632861,0.026322415216226684,0.05,True
2.0,0.1,1200.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.023954886006272512,student_common_stream_difference,-0.09740725746176462,0.04949748544921961,0.1,True
2.0,0.1,1800.0,golovin_relative_error_radius_moment_0_m3,5,0.002256851439308383,student_common_stream_difference,-0.026965885499328237,0.031479588377945004,0.05,True
2.0,0.1,1800.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.012541601184652463,student_common_stream_difference,-0.09467392621358879,0.06959072384428387,0.1,True
2.0,0.1,2400.0,golovin_relative_error_radius_moment_0_m3,5,0.0019130063621060956,student_common_stream_difference,-0.036722917466823705,0.0405489301910359,0.05,True
2.0,0.1,2400.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.019596253231180617,student_common_stream_difference,-0.1225351183137367,0.08334261185137545,0.1,False
2.0,0.1,3000.0,golovin_relative_error_radius_moment_0_m3,5,0.0004865949647711254,student_common_stream_difference,-0.03977911761039503,0.04075230753993728,0.05,True
2.0,0.1,3000.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.017455499927678142,student_common_stream_difference,-0.07750090403638091,0.11241190389173719,0.1,False
2.0,0.1,3600.0,golovin_relative_error_radius_moment_0_m3,5,-0.0013737557052085458,student_common_stream_difference,-0.04421429301651137,0.04146678160609427,0.05,True
2.0,0.1,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.010584014111021344,student_common_stream_difference,-0.07324603279031698,0.09441406101235968,0.1,True
