max_superdroplets,time_s,metric,ensemble_size,sampling_method,random_subset_draws,full_ensemble_size,full_ensemble_estimate,subset_median,subset_95pct_low,subset_95pct_high,subset_95pct_half_width
131072,3600.0,golovin_relative_error_radius_moment_0_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,-0.001645374125086463,-0.0017516258093665637,-0.0043764973544380805,0.0009035671799447087,0.0026400322671913945
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,-0.008303357057502292,-0.008201209253634678,-0.019502794496552834,0.0059871727875041355,0.012744983642028484
131072,3600.0,ensemble_mean_l1_bins_500,10,random_subsets_without_replacement_from_complete_pool,1,10,0.022426357482860215,0.022426357482860215,0.022426357482860215,0.022426357482860215,0.0
131072,3600.0,golovin_relative_error_radius_moment_0_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,-0.001645374125086463,-0.001645374125086463,-0.001645374125086463,-0.001645374125086463,0.0
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,-0.008303357057502292,-0.008303357057502292,-0.008303357057502292,-0.008303357057502292,0.0
262144,3600.0,ensemble_mean_l1_bins_500,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.015623754351622452,0.021952144642085,0.019469827019330307,0.02499315866670815,0.002761665823688921
262144,3600.0,golovin_relative_error_radius_moment_0_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,-0.00012381846609655912,-0.0001394576197552011,-0.0013319979332237068,0.0010811569981847846,0.0012065774657042457
262144,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.007215691327174811,0.007302567032712681,-0.0045322926308937195,0.01867951721646808,0.0116059049236809
262144,3600.0,ensemble_mean_l1_bins_500,10,random_subsets_without_replacement_from_complete_pool,1,10,0.015623754351622452,0.015623754351622452,0.015623754351622452,0.015623754351622452,0.0
262144,3600.0,golovin_relative_error_radius_moment_0_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,-0.00012381846609655912,-0.00012381846609655912,-0.00012381846609655912,-0.00012381846609655912,0.0
262144,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,0.007215691327174811,0.007215691327174811,0.007215691327174811,0.007215691327174811,0.0
524288,3600.0,ensemble_mean_l1_bins_500,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.010627216639818447,0.015667721781364267,0.014043056929413262,0.016889527024617573,0.0014232350476021558
524288,3600.0,golovin_relative_error_radius_moment_0_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,-0.00028807318093720946,-0.00035459708687317625,-0.0021746566051097592,0.001639152711538032,0.0019069046583238955
524288,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.0017061129022443722,0.0019747549003600318,-0.005511987852269251,0.008924213656757995,0.007218100754513623
524288,3600.0,ensemble_mean_l1_bins_500,10,random_subsets_without_replacement_from_complete_pool,1,10,0.010627216639818447,0.010627216639818447,0.010627216639818447,0.010627216639818447,0.0
524288,3600.0,golovin_relative_error_radius_moment_0_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,-0.00028807318093720946,-0.00028807318093720946,-0.00028807318093720946,-0.00028807318093720946,0.0
524288,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,0.0017061129022443722,0.0017061129022443722,0.0017061129022443722,0.0017061129022443722,0.0
