lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_n_members,upper_n_members,estimated_difference_lower_minus_upper,95ci_low,95ci_high,equivalence_margin,equivalence_pass
8192,16384,1800.0,ensemble_mean_l1_bins_250,10,10,0.012207990440962237,-0.0013844483539372716,0.032434595197626946,0.01,False
8192,16384,1800.0,ensemble_mean_l1_bins_500,10,10,0.015046391493116602,-0.00031741781735324196,0.04810952239239184,0.01,False
8192,16384,1800.0,ensemble_mean_l1_bins_1000,10,10,0.02623824166686855,0.0033119063605582325,0.06689191091532384,0.01,False
8192,16384,1800.0,golovin_relative_error_radius_moment_0_m3,10,10,0.004718599949741909,-0.008541317015886134,0.017978516915369953,0.05,True
8192,16384,1800.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.006727271844686355,-0.03550477821972803,0.04895932190910074,0.05,True
8192,16384,2400.0,ensemble_mean_l1_bins_250,10,10,0.009204095048917352,-0.0029225060647898576,0.034746848400607,0.01,False
8192,16384,2400.0,ensemble_mean_l1_bins_500,10,10,0.012968761255398552,-0.0005981710063152831,0.04586087691171102,0.01,False
8192,16384,2400.0,ensemble_mean_l1_bins_1000,10,10,0.020773221122060856,0.003226519452302157,0.06810028838564504,0.01,False
8192,16384,2400.0,golovin_relative_error_radius_moment_0_m3,10,10,0.003638166617674232,-0.009991568646557501,0.017267901881905967,0.05,True
8192,16384,2400.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.010309390380183147,-0.042230384867389684,0.06284916562775597,0.05,False
8192,16384,3000.0,ensemble_mean_l1_bins_250,10,10,0.017142248075305698,-0.001215499604639252,0.043115335744687754,0.01,False
8192,16384,3000.0,ensemble_mean_l1_bins_500,10,10,0.015331153971986373,-0.002513829092152544,0.05242361671216031,0.01,False
8192,16384,3000.0,ensemble_mean_l1_bins_1000,10,10,0.021102784094349167,0.000994019737116303,0.07433681949450972,0.01,False
8192,16384,3000.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0020235071016828643,-0.011962593342181842,0.01600960754554757,0.05,True
8192,16384,3000.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.01643906965561489,-0.04644574994594292,0.07932388925717271,0.05,False
8192,16384,3600.0,ensemble_mean_l1_bins_250,10,10,0.02056943849168613,0.0005371343763661698,0.05793576812774506,0.01,False
8192,16384,3600.0,ensemble_mean_l1_bins_500,10,10,0.03047763535138532,0.004895365436892552,0.07633113604884718,0.01,False
8192,16384,3600.0,ensemble_mean_l1_bins_1000,10,10,0.04663113889892605,0.011455166014172935,0.1019964466858578,0.01,False
8192,16384,3600.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0008062709206851926,-0.013089746367012317,0.014702288208382703,0.05,True
8192,16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.001928383284430936,-0.07104134252600902,0.06718457595714716,0.05,False
16384,32768,600.0,ensemble_mean_l1_bins_250,10,10,0.010666504547188742,0.002782358042371357,0.027935134158375046,0.01,False
16384,32768,600.0,ensemble_mean_l1_bins_500,10,10,0.011409079619111077,0.0012042031000342535,0.03341525142129551,0.01,False
16384,32768,600.0,ensemble_mean_l1_bins_1000,10,10,0.01602347941427122,0.0028266019424153417,0.045358685432438844,0.01,False
16384,32768,600.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0015289541901226666,-0.00621600383591035,0.009273912216155682,0.05,True
16384,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.019284649692165756,-0.007638346637481388,0.046207646021812904,0.05,True
16384,32768,1200.0,ensemble_mean_l1_bins_250,10,10,0.014316531811593165,0.004859677599164274,0.031105430625645435,0.01,False
16384,32768,1200.0,ensemble_mean_l1_bins_500,10,10,0.016676463349590075,0.004976145979454501,0.03677054201741144,0.01,False
16384,32768,1200.0,ensemble_mean_l1_bins_1000,10,10,0.01867934756246259,0.002801506886179791,0.04560950822602554,0.01,False
16384,32768,1200.0,golovin_relative_error_radius_moment_0_m3,10,10,0.002379448489028546,-0.006228894664922711,0.010987791642979803,0.05,True
16384,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.01561401978291872,-0.023435007679154577,0.05466304724499202,0.05,False
16384,32768,1800.0,ensemble_mean_l1_bins_250,10,10,0.004809207542080217,-0.003276589529860946,0.023070169483003135,0.01,False
16384,32768,1800.0,ensemble_mean_l1_bins_500,10,10,0.006290989476297533,-0.0018889464698540626,0.03159045964063309,0.01,False
16384,32768,1800.0,ensemble_mean_l1_bins_1000,10,10,0.010723749646534053,-0.00018317120065840513,0.043092171789353734,0.01,False
16384,32768,1800.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0037692225122313294,-0.005771111400502304,0.013309556424964963,0.05,True
16384,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.010145952769702204,-0.051766647465729496,0.03147474192632509,0.05,False
16384,32768,2400.0,ensemble_mean_l1_bins_250,10,10,0.00897958902517601,0.00012649719624498987,0.025036130959904365,0.01,False
16384,32768,2400.0,ensemble_mean_l1_bins_500,10,10,0.02044995278862728,0.007065588832186153,0.039770123190911694,0.01,False
16384,32768,2400.0,ensemble_mean_l1_bins_1000,10,10,0.020610415869121573,0.0061958089528699216,0.04907350009386968,0.01,False
16384,32768,2400.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0033142911885091107,-0.006645570876453711,0.013274153253471931,0.05,True
16384,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.0012761511784664227,-0.046538066009776315,0.043985763652843464,0.05,True
16384,32768,3000.0,ensemble_mean_l1_bins_250,10,10,0.010520311075617884,-0.0012620061473557723,0.035129498020138865,0.01,False
16384,32768,3000.0,ensemble_mean_l1_bins_500,10,10,0.015376201000787751,0.0028410288061906526,0.04341572215405216,0.01,False
16384,32768,3000.0,ensemble_mean_l1_bins_1000,10,10,0.02074608115047643,0.003464397553584588,0.05401531725459289,0.01,False
16384,32768,3000.0,golovin_relative_error_radius_moment_0_m3,10,10,0.004122336112018099,-0.0069056511296057155,0.015150323353641913,0.05,True
16384,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.004728469448010119,-0.0554319118024891,0.04597497290646886,0.05,False
16384,32768,3600.0,ensemble_mean_l1_bins_250,10,10,0.012413577240384464,-0.001459284065040914,0.041147843479146295,0.01,False
16384,32768,3600.0,ensemble_mean_l1_bins_500,10,10,0.006495809051522999,-0.005246585820547658,0.04533708759210548,0.01,False
16384,32768,3600.0,ensemble_mean_l1_bins_1000,10,10,0.01896698343904503,0.0009980053701453989,0.06771292557801764,0.01,False
16384,32768,3600.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0035345634281562788,-0.008011939526407951,0.015081066382720509,0.05,True
16384,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.023633757716497773,-0.08640453231586416,0.03913701688286862,0.05,False
32768,65536,600.0,ensemble_mean_l1_bins_250,10,10,0.004971936551930567,-0.0030626390058272356,0.01602720126765367,0.01,False
32768,65536,600.0,ensemble_mean_l1_bins_500,10,10,0.0051938873029635235,-0.0016640178070439881,0.02156587649181572,0.01,False
32768,65536,600.0,ensemble_mean_l1_bins_1000,10,10,0.004626178652378368,-0.0026495000087020785,0.026325150721236833,0.01,False
32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,10,10,-9.341240659948018e-05,-0.005422944368701102,0.005236119555502142,0.05,True
32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.0002253005416075985,-0.014236603465016134,0.01468720454823133,0.05,True
32768,65536,1200.0,ensemble_mean_l1_bins_250,10,10,0.0046441714449522685,-0.0017605417223795084,0.015165436505231384,0.01,False
32768,65536,1200.0,ensemble_mean_l1_bins_500,10,10,0.006569467300086479,-9.889382484979657e-06,0.022586750014918368,0.01,False
32768,65536,1200.0,ensemble_mean_l1_bins_1000,10,10,0.009544405442605552,0.0006276885793334086,0.03144393363004127,0.01,False
32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.003135983484002858,-0.009640211930600436,0.0033682449625947212,0.05,True
32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.011864523229403956,-0.0097698348210001,0.03349888127980801,0.05,True
32768,65536,1800.0,ensemble_mean_l1_bins_250,10,10,0.003631054825862335,-0.00110753150434897,0.015547988410455649,0.01,False
32768,65536,1800.0,ensemble_mean_l1_bins_500,10,10,0.00823986886118738,0.0009626880099921843,0.02223412567011626,0.01,False
32768,65536,1800.0,ensemble_mean_l1_bins_1000,10,10,0.012986336714644005,0.0032768275402451108,0.03242653744501577,0.01,False
32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.004080891931358443,-0.011496211669692943,0.0033344278069760563,0.05,True
32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.009732031533343522,-0.02031389460345153,0.03977795767013858,0.05,True
32768,65536,2400.0,ensemble_mean_l1_bins_250,10,10,0.00704942879510603,0.0005069151286759031,0.019770582239966156,0.01,False
32768,65536,2400.0,ensemble_mean_l1_bins_500,10,10,0.007294895318341425,-0.0003027276786759577,0.024228631786086197,0.01,False
32768,65536,2400.0,ensemble_mean_l1_bins_1000,10,10,0.015571943838522593,0.0032935892894394273,0.03438736960206345,0.01,False
32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.0034064622885501606,-0.010600025576084506,0.0037871009989841847,0.05,True
32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.007216288289136731,-0.03376071696021809,0.04819329353849155,0.05,True
32768,65536,3000.0,ensemble_mean_l1_bins_250,10,10,0.0038886095933302334,-0.005703427703368921,0.018879369719796747,0.01,False
32768,65536,3000.0,ensemble_mean_l1_bins_500,10,10,0.010174439379081784,-0.0016047327121870606,0.028606616564808788,0.01,False
