max_superdroplets,time_s,metric,n_members,estimate,95ci_low,95ci_high,95ci_half_width,accuracy_margin,precision_margin,accuracy_pass,precision_pass
4096,600.0,ensemble_mean_l1_bins_250,10,0.056380500533899064,0.05975591454857815,0.10144645121365775,0.0208452683325398,0.05,0.01,False,False
4096,600.0,ensemble_mean_l1_bins_500,10,0.0814758800662548,0.09035739972521172,0.1408556436429835,0.025249121958885894,0.05,0.01,False,False
4096,600.0,ensemble_mean_l1_bins_1000,10,0.12082661745416487,0.1325556933088617,0.19463246913154134,0.031038387911339824,0.05,0.01,False,False
4096,600.0,golovin_relative_error_radius_moment_0_m3,10,0.005873187366888332,-0.008229331909248747,0.019975706643025413,0.01410251927613708,0.05,0.025,True,True
4096,600.0,golovin_relative_error_radius_moment_6_um6_m3,10,-0.016121718579236367,-0.05735353711853383,0.025110099960061097,0.041231818539297464,0.05,0.05,False,True
4096,1200.0,ensemble_mean_l1_bins_250,10,0.05684451232887422,0.0625746288937913,0.10253049488379229,0.019977932995000496,0.05,0.01,False,False
4096,1200.0,ensemble_mean_l1_bins_500,10,0.08663213503481312,0.09462653485756699,0.14197047410213331,0.023671969622283164,0.05,0.01,False,False
4096,1200.0,ensemble_mean_l1_bins_1000,10,0.12439040838832911,0.1363273362364866,0.19953888929991673,0.03160577653171506,0.05,0.01,False,False
4096,1200.0,golovin_relative_error_radius_moment_0_m3,10,0.006120604310666034,-0.014427261430039643,0.02666847005137171,0.020547865740705676,0.05,0.025,True,True
4096,1200.0,golovin_relative_error_radius_moment_6_um6_m3,10,-0.005411286550426419,-0.06428509927141333,0.05346252617056049,0.058873812720986914,0.05,0.05,False,False
4096,1800.0,ensemble_mean_l1_bins_250,10,0.058204733838405104,0.06171746987280156,0.1054951751236381,0.02188885262541827,0.05,0.01,False,False
4096,1800.0,ensemble_mean_l1_bins_500,10,0.08100488941777571,0.09111788773893452,0.14592247597248342,0.027402294116774452,0.05,0.01,False,False
4096,1800.0,ensemble_mean_l1_bins_1000,10,0.11146768326901207,0.12877163833319547,0.19901857691571725,0.035123469291260895,0.05,0.01,False,False
4096,1800.0,golovin_relative_error_radius_moment_0_m3,10,0.008390093673676168,-0.016952840045965797,0.033733027393318134,0.025342933719641966,0.05,0.025,True,False
4096,1800.0,golovin_relative_error_radius_moment_6_um6_m3,10,-0.010686838804242116,-0.08878890026419493,0.06741522265571069,0.07810206145995281,0.05,0.05,False,False
4096,2400.0,ensemble_mean_l1_bins_250,10,0.061666896984102305,0.06519399947042413,0.11181144104641033,0.0233087207879931,0.05,0.01,False,False
4096,2400.0,ensemble_mean_l1_bins_500,10,0.08743109185407602,0.0965688295160799,0.15185860133764045,0.02764488591078028,0.05,0.01,False,False
4096,2400.0,ensemble_mean_l1_bins_1000,10,0.11348179330784988,0.1318515693542599,0.2059624673081756,0.03705544897695785,0.05,0.01,False,False
4096,2400.0,golovin_relative_error_radius_moment_0_m3,10,0.00704370539210244,-0.01908752325926185,0.03317493404346673,0.026131228651364292,0.05,0.025,True,False
4096,2400.0,golovin_relative_error_radius_moment_6_um6_m3,10,-0.015522686500856576,-0.08646455646550831,0.055419183463795166,0.07094186996465174,0.05,0.05,False,False
4096,3000.0,ensemble_mean_l1_bins_250,10,0.07444658818569354,0.0823954731199846,0.12795248315672117,0.022778505018368284,0.05,0.01,False,False
4096,3000.0,ensemble_mean_l1_bins_500,10,0.10278293100549162,0.11267947779907375,0.18057360786836343,0.03394706503464484,0.05,0.01,False,False
4096,3000.0,ensemble_mean_l1_bins_1000,10,0.15282462739695796,0.16677258240745968,0.2502740643826873,0.041750740987613805,0.05,0.01,False,False
4096,3000.0,golovin_relative_error_radius_moment_0_m3,10,0.010489180813805754,-0.017449463216637345,0.03842782484424886,0.0279386440304431,0.05,0.025,True,False
4096,3000.0,golovin_relative_error_radius_moment_6_um6_m3,10,-0.03688207060746955,-0.1020948744198764,0.0283307332049373,0.06521280381240685,0.05,0.05,False,False
4096,3600.0,ensemble_mean_l1_bins_250,10,0.09223775744061466,0.09532334916530041,0.15603610456736278,0.03035637770103118,0.05,0.01,False,False
