design,total_members_each,lower_max_superdroplets,upper_max_superdroplets,metric,lower_members,upper_members,limiting_time_s,limiting_point_change,worst_projected_one_sided_upper_bound,minimum_worthwhile_improvement,projected_pass
balanced,100,32768,65536,ensemble_mean_l1,100,100,3600.0,0.004423167085781419,0.008670797945446996,0.01,True
balanced,100,32768,65536,golovin_relative_error_radius_moment_0_m3,100,100,3600.0,0.0014226975248670015,0.004797565492788036,0.01,True
balanced,100,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,100,100,3600.0,0.004719256041923263,0.023941367160669788,0.01,False
balanced,100,65536,131072,ensemble_mean_l1,100,100,3600.0,0.002785992565845034,0.005658958204259862,0.01,True
balanced,100,65536,131072,golovin_relative_error_radius_moment_0_m3,100,100,3600.0,0.0003548410606246233,0.002751736466971029,0.01,True
balanced,100,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,100,100,3600.0,0.004440243293286947,0.0172406853199192,0.01,False
balanced,150,32768,65536,ensemble_mean_l1,150,150,3600.0,0.004423167085781419,0.00789134315974146,0.01,True
balanced,150,32768,65536,golovin_relative_error_radius_moment_0_m3,150,150,3600.0,0.0014226975248670015,0.00417826568175703,0.01,True
balanced,150,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,150,150,3600.0,0.004719256041923263,0.02041404404859263,0.01,False
balanced,150,65536,131072,ensemble_mean_l1,150,150,3600.0,0.002785992565845034,0.005131759186733583,0.01,True
balanced,150,65536,131072,golovin_relative_error_radius_moment_0_m3,150,150,3600.0,0.0003548410606246233,0.002311897964747836,0.01,True
balanced,150,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,150,150,3600.0,0.004440243293286947,0.014891760442395758,0.01,False
balanced,200,32768,65536,ensemble_mean_l1,200,200,3600.0,0.004423167085781419,0.007426695670628192,0.01,True
balanced,200,32768,65536,golovin_relative_error_radius_moment_0_m3,200,200,3600.0,0.0014226975248670015,0.0038090895505932293,0.01,True
balanced,200,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,200,200,3600.0,0.004719256041923263,0.018311341162710264,0.01,False
balanced,200,65536,131072,ensemble_mean_l1,200,200,3600.0,0.002785992565845034,0.0048174860508840974,0.01,True
balanced,200,65536,131072,golovin_relative_error_radius_moment_0_m3,200,200,3600.0,0.0003548410606246233,0.002049702056247052,0.01,True
balanced,200,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,200,200,3600.0,0.004440243293286947,0.013491522652503888,0.01,False
balanced,300,32768,65536,ensemble_mean_l1,300,300,3000.0,0.004709922826139041,0.006885861119569353,0.01,True
balanced,300,32768,65536,golovin_relative_error_radius_moment_0_m3,300,300,3600.0,0.0014226975248670015,0.0033711784546256564,0.01,True
balanced,300,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,300,300,3600.0,0.004719256041923263,0.015817147070724468,0.01,False
balanced,300,65536,131072,ensemble_mean_l1,300,300,3600.0,0.002785992565845034,0.00444470005055638,0.01,True
balanced,300,65536,131072,golovin_relative_error_radius_moment_0_m3,300,300,3600.0,0.0003548410606246233,0.001738689268698098,0.01,True
balanced,300,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,300,300,3600.0,0.004440243293286947,0.011830581943109278,0.01,False
balanced,400,32768,65536,ensemble_mean_l1,400,400,3000.0,0.004709922826139041,0.0065943406653170495,0.01,True
balanced,400,32768,65536,golovin_relative_error_radius_moment_0_m3,400,400,3600.0,0.0014226975248670015,0.003110131508827519,0.01,True
balanced,400,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,400,400,3600.0,0.004719256041923263,0.014330311601296527,0.01,False
balanced,400,65536,131072,ensemble_mean_l1,400,400,3600.0,0.002785992565845034,0.004222475385052448,0.01,True
balanced,400,65536,131072,golovin_relative_error_radius_moment_0_m3,400,400,3600.0,0.0003548410606246233,0.001553288763797826,0.01,True
balanced,400,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,400,400,3600.0,0.004440243293286947,0.010840464306603074,0.01,False
balanced,600,32768,65536,ensemble_mean_l1,600,600,3000.0,0.004709922826139041,0.006248543548867098,0.01,True
balanced,600,32768,65536,golovin_relative_error_radius_moment_0_m3,600,600,3600.0,0.0014226975248670015,0.0028004816033120154,0.01,True
balanced,600,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,600,600,3600.0,0.004719256041923263,0.012566650045257945,0.01,False
balanced,600,65536,131072,ensemble_mean_l1,600,600,3600.0,0.002785992565845034,0.003958875876289308,0.01,True
balanced,600,65536,131072,golovin_relative_error_radius_moment_0_m3,600,600,3600.0,0.0003548410606246233,0.0013333695126862299,0.01,True
balanced,600,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,600,600,3600.0,0.004440243293286947,0.009666001867841351,0.01,True
balanced,800,32768,65536,ensemble_mean_l1,800,800,3000.0,0.004709922826139041,0.006042407458810712,0.01,True
balanced,800,32768,65536,golovin_relative_error_radius_moment_0_m3,800,800,3600.0,0.0014226975248670015,0.0026158935377301154,0.01,True
balanced,800,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,800,800,3600.0,0.004719256041923263,0.011515298602316764,0.01,False
balanced,800,65536,131072,ensemble_mean_l1,800,800,3600.0,0.002785992565845034,0.003801739308364566,0.01,True
balanced,800,65536,131072,golovin_relative_error_radius_moment_0_m3,800,800,3600.0,0.0003548410606246233,0.0012022715584358377,0.01,True
balanced,800,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,800,800,3600.0,0.004440243293286947,0.008965882972895418,0.01,True
balanced,1000,32768,65536,ensemble_mean_l1,1000,1000,3000.0,0.004709922826139041,0.005901733313190118,0.01,True
balanced,1000,32768,65536,golovin_relative_error_radius_moment_0_m3,1000,1000,3600.0,0.0014226975248670015,0.002489924482964456,0.01,True
balanced,1000,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,1000,1000,3600.0,0.004719256041923263,0.010797821299131899,0.01,False
balanced,1000,65536,131072,ensemble_mean_l1,1000,1000,3600.0,0.002785992565845034,0.003694504071524094,0.01,True
balanced,1000,65536,131072,golovin_relative_error_radius_moment_0_m3,1000,1000,3600.0,0.0003548410606246233,0.001112805940349568,0.01,True
balanced,1000,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,1000,1000,3600.0,0.004440243293286947,0.00848809847939691,0.01,True
balanced,1250,32768,65536,ensemble_mean_l1,1250,1250,3000.0,0.004709922826139041,0.005775910532276378,0.01,True
balanced,1250,32768,65536,golovin_relative_error_radius_moment_0_m3,1250,1250,3600.0,0.0014226975248670015,0.0023772543351574926,0.01,True
balanced,1250,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,1250,1250,3600.0,0.004719256041923263,0.010156090090238063,0.01,False
balanced,1250,65536,131072,ensemble_mean_l1,1250,1250,3600.0,0.002785992565845034,0.00359858995986066,0.01,True
balanced,1250,65536,131072,golovin_relative_error_radius_moment_0_m3,1250,1250,3600.0,0.0003548410606246233,0.001032785458873595,0.01,True
balanced,1250,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,1250,1250,3600.0,0.004440243293286947,0.008060755036973724,0.01,True
balanced,1500,32768,65536,ensemble_mean_l1,1500,1500,3000.0,0.004709922826139041,0.0056830320139300535,0.01,True
balanced,1500,32768,65536,golovin_relative_error_radius_moment_0_m3,1500,1500,3600.0,0.0014226975248670015,0.0022940846872274707,0.01,True
balanced,1500,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,1500,1500,3600.0,0.004719256041923263,0.009682383791380176,0.01,True
balanced,1500,65536,131072,ensemble_mean_l1,1500,1500,3600.0,0.002785992565845034,0.0035277891039654868,0.01,True
balanced,1500,65536,131072,golovin_relative_error_radius_moment_0_m3,1500,1500,3600.0,0.0003548410606246233,0.0009737167933833358,0.01,True
balanced,1500,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,1500,1500,3600.0,0.004440243293286947,0.007745303212836297,0.01,True
balanced,2000,32768,65536,ensemble_mean_l1,2000,2000,3000.0,0.004709922826139041,0.0055526601034221,0.01,True
balanced,2000,32768,65536,golovin_relative_error_radius_moment_0_m3,2000,2000,3600.0,0.0014226975248670015,0.002177340944002803,0.01,True
balanced,2000,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,2000,2000,3600.0,0.004719256041923263,0.009017450755180439,0.01,True
balanced,2000,65536,131072,ensemble_mean_l1,2000,2000,3600.0,0.002785992565845034,0.0034284072122966977,0.01,True
balanced,2000,65536,131072,golovin_relative_error_radius_moment_0_m3,2000,2000,3600.0,0.0003548410606246233,0.0008908031669793776,0.01,True
balanced,2000,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,2000,2000,3600.0,0.004440243293286947,0.007302509144646437,0.01,True
balanced,2500,32768,65536,ensemble_mean_l1,2500,2500,3000.0,0.004709922826139041,0.005463689961810244,0.01,True
balanced,2500,32768,65536,golovin_relative_error_radius_moment_0_m3,2500,2500,3600.0,0.0014226975248670015,0.0020976711184512086,0.01,True
balanced,2500,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,2500,2500,3600.0,0.004719256041923263,0.008563678265672569,0.01,True
balanced,2500,65536,131072,ensemble_mean_l1,2500,2500,3600.0,0.002785992565845034,0.003360585693528,0.01,True
balanced,2500,65536,131072,golovin_relative_error_radius_moment_0_m3,2500,2500,3600.0,0.0003548410606246233,0.0008342201418939045,0.01,True
balanced,2500,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,2500,2500,3600.0,0.004440243293286947,0.007000331698613398,0.01,True
