max_superdroplets,time_s,metric,current_members,point_estimate,bootstrap_variance_of_estimate,per_member_variance_coefficient,projection_model
131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0010348741722900124,1.0782494141530449e-06,0.00010782494141530449,variance_of_estimate_equals_coefficient_over_member_count
131072,1200.0,ensemble_mean_l1,100,0.004617315337386137,2.325457553697052e-07,2.325457553697052e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,1200.0,golovin_relative_error_radius_moment_0_m3,100,-0.00023901142748986693,2.6947743616400407e-07,2.6947743616400408e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0007234679170306646,2.4068056217243546e-06,0.00024068056217243545,variance_of_estimate_equals_coefficient_over_member_count
131072,1800.0,ensemble_mean_l1,100,0.008875301948060499,2.0335560673262496e-07,2.0335560673262494e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,1800.0,golovin_relative_error_radius_moment_0_m3,100,-0.0005763945398533843,2.941267497666432e-07,2.941267497666432e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0008139471980024315,2.9890924699602796e-06,0.00029890924699602794,variance_of_estimate_equals_coefficient_over_member_count
131072,2400.0,ensemble_mean_l1,100,0.0072672269222525685,2.0410401014121863e-07,2.0410401014121862e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,2400.0,golovin_relative_error_radius_moment_0_m3,100,-0.0007640001765475423,3.2053383432800796e-07,3.2053383432800796e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.00193406438873027,4.207771752549047e-06,0.0004207771752549047,variance_of_estimate_equals_coefficient_over_member_count
131072,3000.0,ensemble_mean_l1,100,0.0057781926502808705,2.9553603985960317e-07,2.9553603985960316e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,3000.0,golovin_relative_error_radius_moment_0_m3,100,-0.000832578099265201,3.3239224789028846e-07,3.323922478902885e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,-3.328367781741615e-05,5.767095679173199e-06,0.00057670956791732,variance_of_estimate_equals_coefficient_over_member_count
131072,3600.0,ensemble_mean_l1,100,0.007039327068442216,5.001409788211839e-07,5.001409788211839e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,3600.0,golovin_relative_error_radius_moment_0_m3,100,-0.0009300800241298302,3.477669205170383e-07,3.4776692051703826e-05,variance_of_estimate_equals_coefficient_over_member_count
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0013178598396983631,8.405396173291237e-06,0.0008405396173291236,variance_of_estimate_equals_coefficient_over_member_count
