lower_members,middle_members,upper_members,additional_members,projected_additional_cpu_hours,projected_additional_zarr_gb,maximum_projected_upper_bound
2480,640,390,3210,148.05277777777778,224.7055994,0.0099983895555947
2445,645,385,3175,146.53020833333332,222.25553834,0.009999637197848864
2415,650,380,3145,145.18756944444445,220.155486,0.009999395529028458
2385,655,380,3120,144.3920138888889,218.4054424,0.009999658549622228
2360,660,375,3095,143.22930555555556,216.65539878,0.009998239136325826
2330,665,370,3065,141.88666666666666,214.55534644,0.009999478096066276
2305,670,370,3045,141.27104166666666,213.15531156,0.009998943589233405
2280,675,365,3020,140.10833333333332,211.40526794,0.009998834249185582
2255,680,360,2995,138.945625,209.65522432,0.009999154499173029
2230,685,360,2975,138.33,208.25518944,0.009999909142039312
2210,690,355,2955,137.34722222222223,206.85515454,0.009998600662541518
2190,695,355,2940,136.9115277777778,205.80512838,0.009997634061067013
2165,700,350,2915,135.74881944444445,204.05508476,0.009999607763739617
2145,705,350,2900,135.313125,203.0050586,0.009999379052203945
2125,710,345,2880,134.33034722222223,201.6050237,0.009999499277819046
2105,715,345,2865,133.89465277777776,200.55499754,0.009999970881384879
2090,720,340,2850,133.09180555555557,199.50497136,0.009997997578111689
2070,725,340,2835,132.6561111111111,198.4549452,0.009999126410853472
2055,730,335,2820,131.85326388888888,197.40491902,0.009997718630523292
2035,735,335,2805,131.41756944444444,196.35489286,0.009999512070272635
2020,740,330,2790,130.6147222222222,195.30486668,0.009998673648814124
2005,745,330,2780,130.35895833333333,194.60484924,0.009998099086632918
1990,750,325,2765,129.5561111111111,193.55482306,0.009999715172179478
1975,755,325,2755,129.30034722222223,192.85480562,0.009997743594812696
1960,760,325,2745,129.04458333333332,192.15478818,0.009997963996628879
1945,765,320,2730,128.24173611111112,191.104762,0.009998450922702544
1930,770,320,2720,127.98597222222222,190.40474456,0.009999205347799108
1920,775,320,2715,127.9101388888889,190.05473584,0.009996910597336928
1905,780,315,2700,127.10729166666667,189.00470966,0.009998151735793756
1890,785,315,2690,126.85152777777778,188.30469222,0.009999663004046044
1880,790,315,2685,126.77569444444444,187.9546835,0.009997985960814316
1865,795,310,2670,125.97284722222223,186.90465732,0.009999987393579352
1855,800,310,2665,125.89701388888889,186.5546486,0.009998709195346202
1845,805,310,2660,125.82118055555556,186.20463988,0.009997610655346077
1835,810,305,2650,125.19826388888889,185.50462242,0.009996691218943251
1820,815,305,2640,124.9425,184.80460498,0.009999623608705571
1810,820,305,2635,124.86666666666666,184.45459626,0.009999101963791755
1800,825,300,2625,124.24375,183.7545788,0.009998758651735986
1790,830,300,2620,124.16791666666667,183.40457008,0.009998593349834838
1780,835,300,2615,124.09208333333333,183.05456136,0.009998605789905746
1770,840,300,2610,124.01625,182.70455264,0.009998795758023402
1760,845,295,2600,123.39333333333333,182.00453518,0.00999916309430245
1750,850,295,2595,123.3175,181.65452646,0.009999707692726009
1745,855,295,2595,123.42159722222222,181.65452646,0.009996411735794686
1735,860,295,2590,123.34576388888888,181.30451774,0.009997264914637564
1725,865,290,2580,122.72284722222223,180.60450028,0.009998294700457225
1715,870,290,2575,122.64701388888889,180.25449156,0.009999501188029638
1710,875,290,2575,122.75111111111111,180.25449156,0.00999670065583996
1700,880,290,2570,122.67527777777778,179.90448284,0.00999821283632569
1690,885,285,2560,122.05236111111111,179.20446538,0.009999901613654199
1685,890,285,2560,122.15645833333333,179.20446538,0.009997458822411223
