matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,100,100,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,100,100,9.492034225289103e-10,2.8513791284818753e-10,2.8513791284818752e-11,8.926258745075758e-10,1.0057809705502447e-09,8.956446947705477e-10,1.0054918450908e-09,0.30039705513124926
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,16384,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,100,100,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,16384,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,100,100,2.61253718325527e-09,6.748096488375083e-10,6.748096488375083e-11,2.4786403088235237e-09,2.7464340576870164e-09,2.485367183918674e-09,2.7445544190651815e-09,0.2582966677613686
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,32768,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,100,100,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,32768,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,100,100,1.8766819076532214e-09,5.534744606838352e-10,5.5347446068383526e-11,1.7668605669373198e-09,1.986503248369123e-09,1.770021323066473e-09,1.985315974811774e-09,0.29492182901467384
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,65536,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,100,100,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,65536,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,100,100,2.115869293106698e-09,3.859490050371454e-10,3.859490050371454e-11,2.0392886372824367e-09,2.1924499489309594e-09,2.043504116644446e-09,2.1913139480744807e-09,0.1824068274418135
