run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m006,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,16,6,not_applicable,12565268948356273084,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.702225941954907e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m007,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,17,7,not_applicable,18080831571384412884,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,5.40070632659706e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m008,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,18,8,not_applicable,5029447419657506861,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.2151257212120754e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m009,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,19,9,not_applicable,14108026864327171133,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,5.072372966097305e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,20,0,not_applicable,5307406523476911772,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.786522235176392e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m001,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,21,1,not_applicable,17805994060461165824,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.5945204046019512e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m002,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,22,2,not_applicable,9076830274476434971,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.1578808174236315e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m003,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,23,3,not_applicable,6561326515812081595,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.674233168242779e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m004,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,24,4,not_applicable,16147495600922116364,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.3767758872139666e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m005,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,25,5,not_applicable,15187404135339358973,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.61751775809671e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m006,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,26,6,not_applicable,1331966235394635580,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.454437320054126e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m007,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,27,7,not_applicable,15314559316584261693,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.7599547375013458e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m008,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,28,8,not_applicable,657891575694041982,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.915826107814269e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m009,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,29,9,not_applicable,6987282758358410744,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.9596699818436036e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,30,0,not_applicable,12805062651818743695,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.796037873980083e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m001,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,31,1,not_applicable,1027943644623601826,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.7981992561644233e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m002,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,32,2,not_applicable,5950163421383157906,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.4467291808983873e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m003,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,33,3,not_applicable,7069911424374869071,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.5799301866792348e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m004,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,34,4,not_applicable,14519632932396464141,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.5486011079323134e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m005,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,35,5,not_applicable,17040640333181195995,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.6498178379009687e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m006,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,36,6,not_applicable,10808469969421794249,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.141611554762335e-09,1000.0,0.99
