matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_250,10,10,0.03296306835417555,0.0038197954333643045,0.0012079253765341132,0.030230551311523184,0.03569558539682791,0.030867993360543862,0.03533014178977928,0.11588106399325648
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_500,10,10,0.045826846237462054,0.002625504244806705,0.0008302573420029494,0.043948673644284286,0.04770501883063982,0.044331341140901696,0.047393485646414546,0.05729183787167172
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_1000,10,10,0.06446626556498934,0.0031945462367732043,0.001010204219892287,0.06218102485307103,0.06675150627690765,0.06257965416206968,0.06639469620890881,0.049553765970090785
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,radius_moment_0_m3,10,10,1384475.028217868,5202.591766395955,1645.2039717849875,1380753.3182688304,1388196.7381669055,1381604.2600041265,1387653.8120903056,0.0037578083102682365
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,radius_moment_3_um3_m3,10,10,238740390175.4582,111.20014752568,35.16457423278859,238740390095.9104,238740390255.00598,238740390110.16632,238740390239.5704,4.657785280653824e-10
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,radius_moment_6_um6_m3,10,10,4.970432579506376e+17,5103050025831694.0,1613726109540923.5,4.933927558731451e+17,5.0069376002813005e+17,4.94110891889866e+17,5.000859316349208e+17,0.010266812685222036
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_relative_error_radius_moment_0_m3,10,10,-0.0015456805994935262,0.003751999938866426,0.0011864865587630422,-0.004229699666963136,0.0011383384679760828,-0.0035824924085735496,0.0007763096962009622,2.427409608489519
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_relative_error_radius_moment_3_um3_m3,10,10,2.9729852646087628e-05,4.657923947778622e-10,1.472964884282364e-10,2.9729519438281277e-05,2.973018585389398e-05,2.9729580714016326e-05,2.973012283488896e-05,1.5667497593169513e-05
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.0005474768984816691,0.010261191842455844,0.0032448737730100125,-0.007887891346472305,0.006792937549508967,-0.006515418193101021,0.005722238776443256,18.742693748199155
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,liquid_water_gm3,10,10,0.998236347819927,4.6495706646172965e-10,1.470323344209352e-10,0.9982363474873167,0.9982363481525373,0.9982363475412505,0.9982363480930792,4.657785377953437e-10
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,relative_liquid_mass_drift,10,10,4.293422395384994e-10,4.657785488292672e-10,1.472921099548438e-10,9.614433798048867e-11,7.625401410965101e-10,1.5120946550428728e-10,6.982364236796099e-10,1.0848654195541843
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,mass_fraction_r_ge_cloud_threshold,10,10,0.9248514920428464,0.0005748587174315932,0.0001817862879886974,0.9244402628893743,0.9252627211963186,0.9244903976933959,0.9251627490363677,0.0006215686760280008
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,mass_fraction_r_ge_large_threshold,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,mass_fraction_r_ge_onset_threshold,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
