ensemble_size,log_radius_bins,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_estimate,upper_estimate,absolute_change,one_sided_95_upper_bound,minimum_worthwhile_improvement,diminishing_returns_pass
20,500,16384,32768,600.0,ensemble_mean_l1,0.02788534044391911,0.017791176036171915,0.010094164407747196,0.021514077825388216,0.01,False
20,500,16384,32768,600.0,golovin_relative_error_radius_moment_0_m3,-0.0016980714585637991,0.004120746603922665,0.005818818062486464,0.010253216635835472,0.01,False
20,500,16384,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.011137999698716778,-0.006249651788358679,0.017387651487075457,0.031009602958180633,0.01,False
20,500,16384,32768,1200.0,ensemble_mean_l1,0.028242000987031196,0.022110066856561562,0.006131934130469634,0.018333279399938555,0.01,False
20,500,16384,32768,1200.0,golovin_relative_error_radius_moment_0_m3,4.973893213970904e-05,0.005506650283773035,0.005456911351633326,0.010356222133504891,0.01,False
20,500,16384,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.00913808733337892,-0.008154710699426453,0.017292798032805375,0.03338269152448421,0.01,False
20,500,16384,32768,1800.0,ensemble_mean_l1,0.03155396773878848,0.020573787324963615,0.010980180413824862,0.021717103086318294,0.01,False
20,500,16384,32768,1800.0,golovin_relative_error_radius_moment_0_m3,0.0008262901453005844,0.005788519216994625,0.004962229071694041,0.01002158683710233,0.01,False
20,500,16384,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.006990036820511325,-0.010455978535755407,0.017446015356266734,0.03270985773977798,0.01,False
20,500,16384,32768,2400.0,ensemble_mean_l1,0.0344863286226925,0.023673284314514546,0.010813044308177953,0.022244381440846984,0.01,False
20,500,16384,32768,2400.0,golovin_relative_error_radius_moment_0_m3,0.002275100562056609,0.005348988601915111,0.0030738880398585022,0.008434353775628874,0.01,True
20,500,16384,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.017542969384019648,-0.01708198169061858,0.03462495107463823,0.052731107550704696,0.01,False
20,500,16384,32768,3000.0,ensemble_mean_l1,0.03545005608095932,0.02587512359397602,0.009574932486983302,0.02407154195347883,0.01,False
20,500,16384,32768,3000.0,golovin_relative_error_radius_moment_0_m3,0.0020826480551750016,0.005212508810153088,0.0031298607549780865,0.008192584986590881,0.01,True
20,500,16384,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.010842356984772478,-0.021102755641974925,0.0319451126267474,0.05648372844023136,0.01,False
20,500,16384,32768,3600.0,ensemble_mean_l1,0.048430419728127845,0.033594504908495755,0.01483591481963209,0.03273497069002471,0.01,False
20,500,16384,32768,3600.0,golovin_relative_error_radius_moment_0_m3,0.0012281065574815953,0.004961649184126915,0.00373354262664532,0.008838891311296811,0.01,True
