ensemble_size,log_radius_bins,max_superdroplets,time_s,metric,estimate,95ci_low,95ci_high,analytical_margin,analytical_validity_pass,maximum_absolute_liquid_mass_drift,conservation_pass,maximum_out_of_range_mass_fraction,range_coverage_pass
20,500,16384,600.0,ensemble_mean_l1,0.02788534044391911,0.03144621520158323,0.04856774756229833,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,600.0,golovin_relative_error_radius_moment_0_m3,-0.0016980714585637991,-0.006224154232842706,0.002828011315715108,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.011137999698716778,-0.00474213070002092,0.027018130097454476,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,1200.0,ensemble_mean_l1,0.028242000987031196,0.033074174090250257,0.048616005656810124,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,1200.0,golovin_relative_error_radius_moment_0_m3,4.973893213970904e-05,-0.005275912675781185,0.005375390540060603,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.00913808733337892,-0.009451176769606337,0.027727351436364178,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,1800.0,ensemble_mean_l1,0.03155396773878848,0.03652684533841815,0.0517119066595442,0.05,False,3.7166252297993196e-09,True,0.0,True
20,500,16384,1800.0,golovin_relative_error_radius_moment_0_m3,0.0008262901453005844,-0.0051435734266981155,0.006796153717299284,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.006990036820511325,-0.009609310603108429,0.02358938424413108,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,2400.0,ensemble_mean_l1,0.0344863286226925,0.03908425521865934,0.05487133291598986,0.05,False,3.7166252297993196e-09,True,0.0,True
20,500,16384,2400.0,golovin_relative_error_radius_moment_0_m3,0.002275100562056609,-0.0036672719015685452,0.008217473025681763,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.017542969384019648,-0.0017458670052568417,0.03683180577329614,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,3000.0,ensemble_mean_l1,0.03545005608095932,0.04142679317261393,0.060310300051858265,0.05,False,3.7166252297993196e-09,True,0.0,True
20,500,16384,3000.0,golovin_relative_error_radius_moment_0_m3,0.0020826480551750016,-0.003738416698852448,0.007903712809202452,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.010842356984772478,-0.01557300648953378,0.037257720459078734,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,3600.0,ensemble_mean_l1,0.048430419728127845,0.056241639437387164,0.07817065559609593,0.05,False,3.7166252297993196e-09,True,0.0,True
20,500,16384,3600.0,golovin_relative_error_radius_moment_0_m3,0.0012281065574815953,-0.004715075958913062,0.007171289073876252,0.05,True,3.7166252297993196e-09,True,0.0,True
20,500,16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.021241990935645223,-0.011123591321536785,0.05360757319282723,0.05,False,3.7166252297993196e-09,True,0.0,True
20,500,32768,600.0,ensemble_mean_l1,0.017791176036171915,0.0217053878909916,0.032155918515027346,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,600.0,golovin_relative_error_radius_moment_0_m3,0.004120746603922665,0.0005652437057933174,0.007676249502052012,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006249651788358679,-0.014235411947590393,0.0017361083708730355,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,1200.0,ensemble_mean_l1,0.022110066856561562,0.024906996883986548,0.035940541537530395,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,1200.0,golovin_relative_error_radius_moment_0_m3,0.005506650283773035,0.002110137260858775,0.008903163306687294,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.008154710699426453,-0.01893594916459825,0.002626527765745342,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,1800.0,ensemble_mean_l1,0.020573787324963615,0.024877682705480273,0.035189738578443604,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,1800.0,golovin_relative_error_radius_moment_0_m3,0.005788519216994625,0.0026768647102729005,0.00890017372371635,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.010455978535755407,-0.022195676049710844,0.001283718978200031,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,2400.0,ensemble_mean_l1,0.023673284314514546,0.0272781231680605,0.03777809542335493,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,2400.0,golovin_relative_error_radius_moment_0_m3,0.005348988601915111,0.0016645975907921802,0.009033379613038042,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.01708198169061858,-0.029827192450327313,-0.004336770930909844,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,3000.0,ensemble_mean_l1,0.02587512359397602,0.02923803965329469,0.04446976711382428,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,3000.0,golovin_relative_error_radius_moment_0_m3,0.005212508810153088,0.0018283197569928162,0.00859669786331336,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.021102755641974925,-0.04079177036444531,-0.001413740919504542,0.05,True,3.442459872715631e-09,True,0.0,True
