design,total_members_each,lower_max_superdroplets,upper_max_superdroplets,metric,lower_members,upper_members,limiting_time_s,limiting_point_change,worst_projected_one_sided_upper_bound,minimum_worthwhile_improvement,projected_pass
balanced,500,32768,65536,ensemble_mean_l1,500,500,3000.0,0.004709922826139041,0.005824898480317912,0.01,True
balanced,500,32768,65536,golovin_relative_error_radius_moment_0_m3,500,500,3600.0,0.0014226975248670015,0.0024211214258903187,0.01,True
balanced,500,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,500,500,3600.0,0.004719256041923263,0.010405942262393395,0.01,False
balanced,500,65536,131072,ensemble_mean_l1,500,500,3600.0,0.002785992565845034,0.003635933241295835,0.01,True
balanced,500,65536,131072,golovin_relative_error_radius_moment_0_m3,500,500,3600.0,0.0003548410606246233,0.001063940700876162,0.01,True
balanced,500,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,500,500,3600.0,0.004440243293286947,0.008227137294632371,0.01,True
balanced,600,32768,65536,ensemble_mean_l1,600,600,3000.0,0.004709922826139041,0.005727751687577119,0.01,True
balanced,600,32768,65536,golovin_relative_error_radius_moment_0_m3,600,600,3600.0,0.0014226975248670015,0.0023341296791049614,0.01,True
balanced,600,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,600,600,3600.0,0.004719256041923263,0.009910466575932076,0.01,True
balanced,600,65536,131072,ensemble_mean_l1,600,600,3600.0,0.002785992565845034,0.0035618786999876695,0.01,True
balanced,600,65536,131072,golovin_relative_error_radius_moment_0_m3,600,600,3600.0,0.0003548410606246233,0.0010021575080988998,0.01,True
balanced,600,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,600,600,3600.0,0.004440243293286947,0.007897188738983428,0.01,True
balanced,800,32768,65536,ensemble_mean_l1,800,800,3000.0,0.004709922826139041,0.005591388476849408,0.01,True
balanced,800,32768,65536,golovin_relative_error_radius_moment_0_m3,800,800,3600.0,0.0014226975248670015,0.002212020924263052,0.01,True
balanced,800,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,800,800,3600.0,0.004719256041923263,0.009214976240768277,0.01,True
balanced,800,65536,131072,ensemble_mean_l1,800,800,3600.0,0.002785992565845034,0.003457929668456657,0.01,True
balanced,800,65536,131072,golovin_relative_error_radius_moment_0_m3,800,800,3600.0,0.0003548410606246233,0.000915433548424842,0.01,True
balanced,800,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,800,800,3600.0,0.004440243293286947,0.007434045868757017,0.01,True
balanced,1000,32768,65536,ensemble_mean_l1,1000,1000,3000.0,0.004709922826139041,0.005498329672066828,0.01,True
balanced,1000,32768,65536,golovin_relative_error_radius_moment_0_m3,1000,1000,3600.0,0.0014226975248670015,0.0021286898357793156,0.01,True
balanced,1000,32768,65536,golovin_relative_error_radius_moment_6_um6_m3,1000,1000,3600.0,0.004719256041923263,0.00874035043089779,0.01,True
balanced,1000,65536,131072,ensemble_mean_l1,1000,1000,3600.0,0.002785992565845034,0.00338699138106257,0.01,True
balanced,1000,65536,131072,golovin_relative_error_radius_moment_0_m3,1000,1000,3600.0,0.0003548410606246233,0.0008562502247834276,0.01,True
balanced,1000,65536,131072,golovin_relative_error_radius_moment_6_um6_m3,1000,1000,3600.0,0.004440243293286947,0.007117981721272956,0.01,True
