run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,n_superdroplet_records,number_concentration_cm3,liquid_water_gm3,relative_liquid_mass_drift,radius_moment_0_m3,radius_moment_3_um3_m3,radius_moment_6_um6_m3,max_radius_um,mass_fraction_r_ge_cloud_threshold,mass_fraction_r_ge_large_threshold,mass_fraction_r_ge_onset_threshold,mass_weighted_radius_q99_um,golovin_l1_relative,golovin_fixed_bin_l1_relative_bins_250,fixed_bin_mass_below_range_fraction_bins_250,fixed_bin_mass_above_range_fraction_bins_250,golovin_fixed_bin_l1_relative_bins_500,fixed_bin_mass_below_range_fraction_bins_500,fixed_bin_mass_above_range_fraction_bins_500,golovin_fixed_bin_l1_relative_bins_1000,fixed_bin_mass_below_range_fraction_bins_1000,fixed_bin_mass_above_range_fraction_bins_1000,golovin_fixed_bin_l1_relative,fixed_bin_mass_below_range_fraction,fixed_bin_mass_above_range_fraction,golovin_analytical_radius_moment_0_m3,golovin_relative_error_radius_moment_0_m3,golovin_analytical_radius_moment_3_um3_m3,golovin_relative_error_radius_moment_3_um3_m3,golovin_analytical_radius_moment_6_um6_m3,golovin_relative_error_radius_moment_6_um6_m3
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,0.0,512,8.388608,0.9982363490337909,0.0,8388608.0,238740390465.76852,1.3587464180216634e+16,74.66703796386719,0.3489705442785985,0.0,0.0,57.49910354614258,0.2078533993474476,0.021717036192455044,0.0,0.0,0.022759860022844754,0.0,0.0,0.023386329979215383,0.0,0.0,0.022759860022844754,0.0,0.0,8388608.0,0.0,238733292669.84543,2.973106869053055e-05,1.3588329560514944e+16,-6.368555417024524e-05
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,300.00001192092896,512,5.724038149183494,0.9982363506121817,1.581179409626543e-09,5724038.149183494,238740390843.25995,3.2092098731971692e+16,101.33230590820312,0.5615599502052309,0.0,0.0,85.3079833984375,0.20918527699800682,0.4891290624502146,0.0,0.0,0.6161286321159332,0.0,0.0,0.865529066956477,0.0,0.0,0.6161286321159332,0.0,0.0,5348803.665523084,0.07015297384704322,238733292669.84543,2.9732649917235676e-05,3.3422009487832736e+16,-0.03979146605009487
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,600.0000238418579,512,3.536029681977017,0.9982363469224252,-2.1150958762206074e-09,3536029.6819770173,238740389960.80975,7.351085572474858e+16,147.0181427001953,0.7397195167092694,0.0,0.0,114.53960418701172,0.11194814592363989,0.480614447091416,0.0,0.0,0.6676043515504084,0.0,0.0,0.9662170783425438,0.0,0.0,0.6676043515504084,0.0,0.0,3410542.089022777,0.03679403147028637,238733292669.84543,2.972895353203775e-05,8.220515356432454e+16,-0.10576341582736393
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,899.9999761581421,512,2.219884611829177,0.9982363533139617,4.287732835450697e-09,2219884.611829177,238740391489.42358,1.7698215795742163e+17,181.34304809570312,0.8497587284190344,0.0,0.0,167.1377716064453,0.11700529281688876,0.43238058616827835,0.0,0.0,0.6174091726565509,0.0,0.0,0.9564819457565018,0.0,0.0,0.6174091726565509,0.0,0.0,2174654.2046287498,0.020798896258611865,238733292669.84543,2.9735356551041647e-05,2.021926918134987e+17,-0.1246856828996129
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,1200.0000476837158,512,1.4685294974856073,0.9982363447166139,-4.324804403488258e-09,1468529.4974856074,238740389433.26306,3.842562503894556e+17,220.43582153320312,0.9036255857402975,0.0,0.0,219.64373779296875,0.13650843257978887,0.4627133782131059,0.0,0.0,0.6852828234500116,0.0,0.0,0.9151602285941107,0.0,0.0,0.6852828234500116,0.0,0.0,1386618.2972187817,0.059072637676222506,238733292669.84543,2.9726743757674257e-05,4.97315526712769e+17,-0.22733912425905867
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,1500.0,512,0.9638005424177147,0.9982363549874816,5.96420957066357e-09,963800.5424177147,238740391889.6663,1.0507563025862454e+18,317.0202941894531,0.9433591248442937,0.0,0.0,291.2301025390625,0.2108657011475157,0.502300887710781,0.0,0.0,0.7088565145446052,0.0,0.0,0.983022450502478,0.0,0.0,0.7088565145446052,0.0,0.0,884145.4617925527,0.09009273255066641,238733292669.84543,2.9737033077736896e-05,1.2232026906685448e+18,-0.14097940545572896
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,1799.9999523162842,512,0.5991919138471858,0.9982363462145128,-2.8242590488503083e-09,599191.9138471858,238740389791.5038,2.3708800327415163e+18,418.0340576171875,0.9656895487616458,0.0,0.0,401.10845947265625,0.19634249463215073,0.5015686015423914,0.0,0.0,0.7117233320315609,0.0,0.0,1.006550951424668,0.0,0.0,0.7117233320315609,0.0,0.0,563755.1438462138,0.0628584419810434,238733292669.84543,2.9728244347548838e-05,3.0086026719268946e+18,-0.2119663872986397
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,2099.9999046325684,512,0.38091048258753457,0.9982363522723737,3.2443046027452738e-09,380910.4825875346,238740391240.31512,6.385303348176256e+18,574.9920654296875,0.9784661870355407,0.0,0.0,574.9920654296875,0.1540861188176944,0.5404580701066954,0.0,0.0,0.7103080688259412,0.0,0.0,0.9819006105980381,0.0,0.0,0.7103080688259412,0.0,0.0,359465.58111456485,0.059657732477410796,238733292669.84543,2.9734313091944742e-05,7.39999192822117e+18,-0.1371202279525766
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,2400.0000953674316,512,0.24540596298744027,0.9982363556885594,6.666525997900408e-09,245405.96298744026,238740392057.33762,1.4490293355719016e+19,728.8244018554688,0.9863011061316963,0.0,0.0,728.8244018554688,0.13155240262638251,0.5598817814044321,0.0,0.0,0.7731177874550685,0.0,0.0,1.0521089849292773,0.0,0.0,0.7731177874550685,0.0,0.0,229204.92913507385,0.0706836188623976,238733292669.84543,2.9737735415036326e-05,1.8201113831406539e+19,-0.20387875764418306
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,2700.000047683716,512,0.15645835106653094,0.998236336160793,-1.2895741474672207e-08,156458.35106653094,238740387387.03424,3.2270771348221313e+19,950.6251831054688,0.9912221754517035,0.0,0.0,878.8649291992188,0.11750393710981802,0.5647780870623778,0.0,0.0,0.7515602821746966,0.0,0.0,0.9976127253666404,0.0,0.0,0.7515602821746966,0.0,0.0,146147.28387886327,0.07055257486833755,238733292669.84543,2.971817256591791e-05,4.476765798748041e+19,-0.27914988634772764
