run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m019,golovin,golovin_controlled_resolution_convergence_v1,controlled,19,19,not_applicable,16192363354953860254,512,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.2619654432555194e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,20,0,not_applicable,8641858145974406961,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.082963396736858e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m001,golovin,golovin_controlled_resolution_convergence_v1,controlled,21,1,not_applicable,14842523006980970032,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,8.643640247996132e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m002,golovin,golovin_controlled_resolution_convergence_v1,controlled,22,2,not_applicable,17165819723852171041,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,8.927752981335857e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m003,golovin,golovin_controlled_resolution_convergence_v1,controlled,23,3,not_applicable,5570320617183956955,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.2850994490776202e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m004,golovin,golovin_controlled_resolution_convergence_v1,controlled,24,4,not_applicable,12511955656579822330,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,8.834129427981452e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m005,golovin,golovin_controlled_resolution_convergence_v1,controlled,25,5,not_applicable,1388977584329996122,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,9.56847512334491e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m006,golovin,golovin_controlled_resolution_convergence_v1,controlled,26,6,not_applicable,3704077830791479903,1024,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,7.565635451456387e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m007,golovin,golovin_controlled_resolution_convergence_v1,controlled,27,7,not_applicable,9284392000364420578,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,6.650279216202648e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m008,golovin,golovin_controlled_resolution_convergence_v1,controlled,28,8,not_applicable,1956953606296209611,1024,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,1.0165956298990864e-08,1000.0,0.99
