max_superdroplets,time_s,metric,ensemble_size,bootstrap_resamples,full_ensemble_size,full_ensemble_estimate,bootstrap_median,bootstrap_95ci_low,bootstrap_95ci_high,bootstrap_95ci_half_width
16384,3600.0,ensemble_mean_l1_bins_500,5,2000,100,0.019371566829203414,0.08811002826548062,0.07626314062154296,0.10751731763509136,0.015627088506774196
16384,3600.0,golovin_relative_error_radius_moment_0_m3,5,2000,100,-0.0007455878494025003,-0.001154596971391897,-0.012948589689434707,0.011838417764400682,0.012393503726917695
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,2000,100,0.008875670145944843,0.0077094820439126185,-0.05707587520871012,0.07978925996434733,0.06843256758652871
16384,3600.0,ensemble_mean_l1_bins_500,10,2000,100,0.019371566829203414,0.06420717660917252,0.05507833551471012,0.07634215663692784,0.010631910561108859
16384,3600.0,golovin_relative_error_radius_moment_0_m3,10,2000,100,-0.0007455878494025003,-0.0008281030441917136,-0.009157367804772592,0.008301955405095582,0.008729661604934087
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,2000,100,0.008875670145944843,0.009170774651433067,-0.03626205559403723,0.0565814378589063,0.046421746726471765
16384,3600.0,ensemble_mean_l1_bins_500,20,2000,100,0.019371566829203414,0.0474177122376188,0.04032225475330758,0.05648414180875764,0.00808094352772503
16384,3600.0,golovin_relative_error_radius_moment_0_m3,20,2000,100,-0.0007455878494025003,-0.0008045139001420954,-0.0069730935613200075,0.0058674101028827535,0.006420251832101381
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,20,2000,100,0.008875670145944843,0.008190545322372865,-0.024362062428609357,0.04324099861232861,0.033801530520468984
16384,3600.0,ensemble_mean_l1_bins_500,40,2000,100,0.019371566829203414,0.036306917260901794,0.030601229022957435,0.04271544992335168,0.006057110450197124
16384,3600.0,golovin_relative_error_radius_moment_0_m3,40,2000,100,-0.0007455878494025003,-0.000807032433588016,-0.005210335339649069,0.003622802451968351,0.00441656889580871
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,2000,100,0.008875670145944843,0.008562862107415636,-0.014518912979077668,0.03425906753330634,0.024388990256192004
16384,3600.0,ensemble_mean_l1_bins_500,60,2000,100,0.019371566829203414,0.03170900670896243,0.027318768820543533,0.036897914203021645,0.004789572691239056
16384,3600.0,golovin_relative_error_radius_moment_0_m3,60,2000,100,-0.0007455878494025003,-0.0006323482124606076,-0.004425357801917225,0.0029628975204084116,0.0036941276611628182
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,60,2000,100,0.008875670145944843,0.00854799532168146,-0.01082200243714108,0.02771439044063042,0.01926819643888575
16384,3600.0,ensemble_mean_l1_bins_500,80,2000,100,0.019371566829203414,0.02910504002767168,0.02509449180338554,0.0335542872679885,0.004229897732301481
16384,3600.0,golovin_relative_error_radius_moment_0_m3,80,2000,100,-0.0007455878494025003,-0.0007103226433072915,-0.003964237782855182,0.002425649535260202,0.003194943659057692
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,80,2000,100,0.008875670145944843,0.008702188245898766,-0.008342691885036663,0.0258528395099911,0.01709776569751388
16384,3600.0,ensemble_mean_l1_bins_500,100,2000,100,0.019371566829203414,0.02746943184627368,0.02391590974456292,0.031352473789060684,0.0037182820222488814
16384,3600.0,golovin_relative_error_radius_moment_0_m3,100,2000,100,-0.0007455878494025003,-0.0006969159414815756,-0.0034721425425219897,0.0021672126202256013,0.0028196775813737955
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,2000,100,0.008875670145944843,0.009145925781312382,-0.006474159972748617,0.023374253428576224,0.014924206700662421
32768,3600.0,ensemble_mean_l1_bins_500,5,2000,100,0.014248486720068669,0.06231632776216606,0.05341335214772014,0.0777295424386278,0.01215809514545383
32768,3600.0,golovin_relative_error_radius_moment_0_m3,5,2000,100,0.0001377764401125481,0.00017169291044758506,-0.010541501378864632,0.009535022286378984,0.010038261832621808
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,2000,100,-0.007841639495511848,-0.00934896335310741,-0.058666427587559966,0.052317991988113426,0.0554922097878367
32768,3600.0,ensemble_mean_l1_bins_500,10,2000,100,0.014248486720068669,0.04523851076859184,0.0386140153204568,0.05462089104068947,0.008003437860116334
32768,3600.0,golovin_relative_error_radius_moment_0_m3,10,2000,100,0.0001377764401125481,9.386063669008515e-05,-0.007359067546811192,0.007001698011703918,0.007180382779257555
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,2000,100,-0.007841639495511848,-0.009034125282258831,-0.04724284986940493,0.0329284707069794,0.04008566028819217
32768,3600.0,ensemble_mean_l1_bins_500,20,2000,100,0.014248486720068669,0.03361159035675554,0.02825965826469962,0.04047427347373333,0.006107307604516854
32768,3600.0,golovin_relative_error_radius_moment_0_m3,20,2000,100,0.0001377764401125481,0.00010101860631337445,-0.005055383332448638,0.004910071893127936,0.004982727612788287
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,20,2000,100,-0.007841639495511848,-0.007699980996496833,-0.036261305938354756,0.023316236317018558,0.02978877112768666
32768,3600.0,ensemble_mean_l1_bins_500,40,2000,100,0.014248486720068669,0.02577064480811301,0.021718740961731788,0.03061412059984522,0.004447689819056716
32768,3600.0,golovin_relative_error_radius_moment_0_m3,40,2000,100,0.0001377764401125481,0.00019044729664599857,-0.003332151196786249,0.0034083019447446916,0.00337022657076547
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,2000,100,-0.007841639495511848,-0.008179820376440047,-0.026868110036623868,0.011581038596884136,0.019224574316754003
32768,3600.0,ensemble_mean_l1_bins_500,60,2000,100,0.014248486720068669,0.022501018530968888,0.019139029977056146,0.02629015555357926,0.0035755627882615576
32768,3600.0,golovin_relative_error_radius_moment_0_m3,60,2000,100,0.0001377764401125481,0.0001801101048268333,-0.002717328097283562,0.0029075787910609716,0.002812453444172267
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,60,2000,100,-0.007841639495511848,-0.00781992587868318,-0.024098228772835333,0.00918062682315213,0.016639427797993732
32768,3600.0,ensemble_mean_l1_bins_500,80,2000,100,0.014248486720068669,0.020779711347652653,0.017922599766525712,0.023954804980578885,0.0030161026070265867
32768,3600.0,golovin_relative_error_radius_moment_0_m3,80,2000,100,0.0001377764401125481,8.711530139923277e-05,-0.0023843413530753887,0.0025533700053609956,0.002468855679218192
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,80,2000,100,-0.007841639495511848,-0.00772722309326051,-0.022524269043878584,0.0064393343400795154,0.01448180169197905
32768,3600.0,ensemble_mean_l1_bins_500,100,2000,100,0.014248486720068669,0.019558439796404852,0.016875807089188934,0.022539628438982114,0.00283191067489659
32768,3600.0,golovin_relative_error_radius_moment_0_m3,100,2000,100,0.0001377764401125481,0.00016478123400133992,-0.0020191559882698773,0.0024655378637503883,0.002242346926010133
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,2000,100,-0.007841639495511848,-0.008055350879408237,-0.01982540694749553,0.004822735348626996,0.012324071148061264
65536,3600.0,ensemble_mean_l1_bins_500,5,2000,100,0.00982531963428725,0.044185552292434094,0.0381711788204215,0.054546558633727475,0.008187689906652987
65536,3600.0,golovin_relative_error_radius_moment_0_m3,5,2000,100,-0.0012849210847544535,-0.001197321668356721,-0.007904720618251678,0.0055752727660778765,0.006739996692164777
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,2000,100,-0.003122383453588584,-0.003321206125706022,-0.03847333464668321,0.03473813643614227,0.03660573554141274
65536,3600.0,ensemble_mean_l1_bins_500,10,2000,100,0.00982531963428725,0.03199870129694008,0.02733840301863213,0.038468815912602115,0.005565206446984992
65536,3600.0,golovin_relative_error_radius_moment_0_m3,10,2000,100,-0.0012849210847544535,-0.0013835739323245998,-0.0060534394971204645,0.003198872243577102,0.004626155870348783
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,2000,100,-0.003122383453588584,-0.003444170647479361,-0.028830774498712436,0.023858092797674296,0.026344433648193367
65536,3600.0,ensemble_mean_l1_bins_500,20,2000,100,0.00982531963428725,0.023832104377553377,0.020247628657538107,0.028278447760645,0.004015409551553446
65536,3600.0,golovin_relative_error_radius_moment_0_m3,20,2000,100,-0.0012849210847544535,-0.0012501146120985102,-0.004571241320163879,0.0022018046593631326,0.003386522989763506
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,20,2000,100,-0.003122383453588584,-0.0033007097264732416,-0.02268148881918068,0.015664292319651107,0.019172890569415894
65536,3600.0,ensemble_mean_l1_bins_500,40,2000,100,0.00982531963428725,0.018156545264209477,0.01564397693433248,0.02124624940619055,0.002801136235929036
65536,3600.0,golovin_relative_error_radius_moment_0_m3,40,2000,100,-0.0012849210847544535,-0.0013062802575026498,-0.0034941556278624787,0.0010073524052568465,0.0022507540165596627
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,2000,100,-0.003122383453588584,-0.0028998123212238642,-0.01586042351697177,0.01036714317129497,0.01311378334413337
65536,3600.0,ensemble_mean_l1_bins_500,60,2000,100,0.00982531963428725,0.015795244846834717,0.013751393879916614,0.018428258128844965,0.0023384321244641756
65536,3600.0,golovin_relative_error_radius_moment_0_m3,60,2000,100,-0.0012849210847544535,-0.0012826943125562097,-0.0031957891699724,0.0005872830055243637,0.0018915360877483818
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,60,2000,100,-0.003122383453588584,-0.00302037058035587,-0.013510109803184732,0.007749762007274177,0.010629935905229454
65536,3600.0,ensemble_mean_l1_bins_500,80,2000,100,0.00982531963428725,0.014562842013342438,0.012768313602739506,0.01677993589659225,0.0020058111469263727
65536,3600.0,golovin_relative_error_radius_moment_0_m3,80,2000,100,-0.0012849210847544535,-0.0012889823304439794,-0.0030076313042942606,0.00041962363319450626,0.0017136274687443835
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,80,2000,100,-0.003122383453588584,-0.003290699364592519,-0.012711641026322149,0.006127949564834048,0.009419795295578098
65536,3600.0,ensemble_mean_l1_bins_500,100,2000,100,0.00982531963428725,0.013715151864424048,0.012170346724015034,0.015639152113973136,0.0017344026949790512
65536,3600.0,golovin_relative_error_radius_moment_0_m3,100,2000,100,-0.0012849210847544535,-0.0012955128201758547,-0.0027256650252752883,0.00013318574793268686,0.0014294253866039875
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,2000,100,-0.003122383453588584,-0.0031357851027422738,-0.011435820992187883,0.0055893393880009695,0.008512580190094427
131072,3600.0,ensemble_mean_l1_bins_500,5,2000,100,0.007039327068442216,0.03114257752227844,0.026938043883338307,0.03810196388802226,0.005581960002341978
131072,3600.0,golovin_relative_error_radius_moment_0_m3,5,2000,100,-0.0009300800241298302,-0.0009655983757905328,-0.006197258923745291,0.004346463246595108,0.0052718610851702
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,2000,100,0.0013178598396983631,0.0004867532282380127,-0.02396447198958751,0.027990560575934357,0.025977516282760932
131072,3600.0,ensemble_mean_l1_bins_500,10,2000,100,0.007039327068442216,0.022571497350096108,0.01921893109937341,0.027497461612402286,0.004139265256514438
131072,3600.0,golovin_relative_error_radius_moment_0_m3,10,2000,100,-0.0009300800241298302,-0.0008999282858468238,-0.004606982539036195,0.0027485645332296924,0.0036777735361329437
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,2000,100,0.0013178598396983631,0.0007430844629960687,-0.016059121268662026,0.01976839269699474,0.017913756982828384
