max_superdroplets,time_s,metric,minimum_members,maximum_members,fitted_log_variance_slope,slope_deviation_from_minus_one,fitted_log_variance_r_squared,minimum_variance_coefficient,maximum_variance_coefficient,coefficient_max_to_min_ratio,coefficient_relative_range,point_estimate_range
32768,600.0,ensemble_mean_l1,40,100,-1.1769010818346393,-0.17690108183463926,0.9906698346577014,9.219430961757289e-05,0.00011041364716851797,1.197618894555639,0.17911373824465712,0.0038487984318841695
32768,600.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.6284903119335352,0.3715096880664648,0.9957923228847374,4.31174147185002e-05,6.0528172121776115e-05,1.4037987322974994,0.3280530939808541,0.0014259456487201367
32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.7449485590971167,0.25505144090288334,0.9148535534418913,0.00028415759880527625,0.0003779307247620252,1.330003935671657,0.2687868661714508,0.005394888872674096
32768,1200.0,ensemble_mean_l1,40,100,-1.4142842487163616,-0.4142842487163616,0.9997871324729498,8.822104737667177e-05,0.00012926803774062666,1.4652743487469513,0.3850260512309039,0.006487334393628202
32768,1200.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.5945890302314016,0.40541096976859836,0.9943183804026087,6.479839677389155e-05,9.371401621540477e-05,1.4462397355664802,0.3554993336077522,0.002595695904206053
32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.728282321667198,0.271717678332802,0.8883993303284072,0.0005681706645935975,0.000778708298764737,1.3705535102234352,0.29600431361204205,0.007752150097646331
32768,1800.0,ensemble_mean_l1,40,100,-1.2207974439565725,-0.22079744395657253,0.9893377207991649,7.39719244188227e-05,9.36232766930508e-05,1.2656596057034264,0.2292609207216681,0.006185256883483946
32768,1800.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.48610388390063375,0.5138961160993663,0.966618737307207,7.008347759827047e-05,0.00010913125098697524,1.5571608990714296,0.4222539880513834,0.0025144163292368077
32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.7468656040722328,0.2531343959277672,0.9141175526037485,0.0010710393151666016,0.001438850454355085,1.3434151613111138,0.2803000957947228,0.009180444335747957
32768,2400.0,ensemble_mean_l1,40,100,-1.4426633175277714,-0.44266331752777144,0.9957951074667074,9.002873017904296e-05,0.00013616846095512706,1.5125000728581262,0.4304724243860145,0.005947763433652225
32768,2400.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.4762301416647909,0.5237698583352091,0.9633107867916527,7.679454207742155e-05,0.00012051845913560557,1.5693622993949636,0.430632650236522,0.002724388299217057
32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.34506233918532686,0.6549376608146731,0.4623051995838965,0.0009337083127683313,0.0017266920701724873,1.8492842427985414,0.5275619534795022,0.014547530537791892
32768,3000.0,ensemble_mean_l1,40,100,-1.3663707231487934,-0.3663707231487934,0.9876467893754346,0.00014595656820118582,0.00020866316621922327,1.4296250507315504,0.3676555214466613,0.00810162107938437
32768,3000.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.3833720486939584,0.6166279513060415,0.904493074708595,7.112651932028295e-05,0.00012032573707090622,1.6917141204264337,0.49699554387720607,0.0027539566086054934
32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.6113941676407773,0.38860583235922275,0.834452907697371,0.0017908029954679329,0.002679050989339066,1.49600542109828,0.37049096193594594,0.018584080107435924
32768,3600.0,ensemble_mean_l1,40,100,-1.28120350467644,-0.28120350467644006,0.9923826370060447,0.00021070050845815302,0.00028218663382864975,1.3392783714363674,0.28882370045891725,0.00958366437809497
32768,3600.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.40396773887642073,0.5960322611235793,0.9287581367673103,7.502676084552222e-05,0.0001252246416586235,1.6690663470925686,0.4912729135854897,0.002292899507054157
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.8353146471821788,0.16468535281782115,0.9704469685518916,0.003601206339390078,0.004328476905535158,1.2019519287718055,0.17721309447525457,0.014786092595381875
65536,600.0,ensemble_mean_l1,40,100,-1.5482043546501367,-0.5482043546501367,0.9993322158768673,4.250661731144395e-05,7.085192462263614e-05,1.6668445786571884,0.5136142519057807,0.004899746613042639
65536,600.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.8598543197495874,0.14014568025041263,0.9906538518733427,1.6927432703638015e-05,1.9600287780298844e-05,1.1579007947310511,0.14948645140088773,0.000477173912106634
65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.9952728642995217,0.004727135700478335,0.9997170540363387,0.00020925915740838515,0.00021278281342642302,1.016838718370452,0.01669687193121823,0.0010686345471989894
65536,1200.0,ensemble_mean_l1,40,100,-1.273192377241358,-0.27319237724135803,0.9979240248523982,4.294254230440449e-05,5.561089590133823e-05,1.295007070311121,0.2646236379585425,0.004104026234318183
65536,1200.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.811275233973339,0.188724766026661,0.9523457202006614,2.90882839221836e-05,3.606035878011944e-05,1.2396867026115188,0.2109546728979148,0.00040165530179705295
65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.9330687438784308,0.06693125612156925,0.9876666748296,0.0003762812339418409,0.00041724701508725456,1.1088701148241302,0.1019421718865867,0.0025961910911668075
65536,1800.0,ensemble_mean_l1,40,100,-1.198143819916904,-0.1981438199169041,0.9783219359878635,4.1899266579950754e-05,5.283482894966875e-05,1.260996510496219,0.2408187638608212,0.003088241559331833
65536,1800.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.7682492928265062,0.23175070717349378,0.9269722404330181,3.233950706488439e-05,4.284523882159077e-05,1.324857510525074,0.2784670849158205,0.00023977261239629673
65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.6829093111289191,0.31709068887108094,0.9664471268915144,0.00039217576357987644,0.0005306953363251238,1.3532078868944035,0.28767234187810625,0.003612971674323483
65536,2400.0,ensemble_mean_l1,40,100,-1.1406292969697491,-0.14062929696974913,0.9983233192707308,4.9709644333727494e-05,5.5777864157589065e-05,1.1220732899057244,0.11586955013656136,0.004661403876575623
65536,2400.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.9592578373820074,0.04074216261799257,0.982551084587899,4.5331184442969026e-05,5.131033517750697e-05,1.1318992831978676,0.12221568119947553,0.0005115310449911721
65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.9554808245073829,0.04451917549261708,0.9846828231975097,0.0007823612939576194,0.0008827713766854109,1.12834234451945,0.12129847220458312,0.0030981524510618405
65536,3000.0,ensemble_mean_l1,40,100,-1.166138306350178,-0.166138306350178,0.9633044503461234,7.341114894631442e-05,9.558055728129506e-05,1.3019896657821435,0.26726300889512516,0.004407212156232781
65536,3000.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.9518862445602528,0.04811375543974716,0.9941813703361978,4.9880694554634994e-05,5.411225448904395e-05,1.0848336209467588,0.08093804269651111,0.0006768705065508223
65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-1.2048188390921672,-0.20481883909216725,0.9993859326450264,0.001146254354965151,0.001384934207588649,1.208225906919895,0.18886420980501062,0.00046307803699235234
65536,3600.0,ensemble_mean_l1,40,100,-1.4147013671883044,-0.4147013671883044,0.9990371314723936,8.475125437680418e-05,0.00012486114585332623,1.473266051003722,0.3875732696865361,0.006843652842017229
65536,3600.0,golovin_relative_error_radius_moment_0_m3,40,100,-0.8213478862951089,0.1786521137048911,0.9992467876424491,4.926732842031121e-05,5.773128807892109e-05,1.171796602941443,0.15754106568595322,0.0005961916632144801
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-1.1041930450434319,-0.10419304504343185,0.9983770348796716,0.0017753086154324543,0.0019504114847009011,1.098632354817809,0.09585061486809461,0.0027647367149626905
131072,600.0,ensemble_mean_l1,40,100,-1.4501304411192226,-0.4501304411192226,0.9677732650590188,2.170319096873724e-05,3.3418350823412514e-05,1.5397897420499405,0.4693176418981573,0.00363154164969395
131072,600.0,golovin_relative_error_radius_moment_0_m3,40,100,-1.063170009127159,-0.06317000912715898,0.9235944216068128,1.2356197876315775e-05,1.6570278487830065e-05,1.3410499454360305,0.28689026577047166,0.0009200850428642305
131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.8254819262446679,0.17451807375533213,0.9964304553712704,9.231495977921435e-05,0.00010812286522720604,1.171238827225823,0.1589670850355902,0.0019275865813509262
131072,1200.0,ensemble_mean_l1,40,100,-1.471539733760915,-0.47153973376091507,0.9984174056558903,2.291166128641841e-05,3.557744677295311e-05,1.5528095640119615,0.4385057723143167,0.0033275848713759867
131072,1200.0,golovin_relative_error_radius_moment_0_m3,40,100,-1.0893926070135975,-0.08939260701359752,0.9912735028173317,2.5564558236057946e-05,2.8770699194268988e-05,1.1254135091483368,0.12019529527961371,0.0008050078214446464
131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.9108516195063368,0.08914838049366325,0.9552834919230492,0.00022064793806382126,0.0002636661023563002,1.194962910915742,0.1753405129202238,0.001334318601592104
131072,1800.0,ensemble_mean_l1,40,100,-1.3840300794954095,-0.38403007949540946,0.9974235516591416,2.0438925439652218e-05,2.845524536557067e-05,1.3922084822701353,0.33581746249300537,0.0019887406566008944
131072,1800.0,golovin_relative_error_radius_moment_0_m3,40,100,-1.243456642564301,-0.243456642564301,0.9914879887361217,2.979959507218595e-05,3.717846245123163e-05,1.2476163639529751,0.23152997289487906,0.0008807083842216313
