lower_max_superdroplets,upper_max_superdroplets,time_s,metric,ensemble_members_each,absolute_point_change,percentile_bootstrap_one_sided_upper_bound,normal_approximation_one_sided_upper_bound,normal_minus_percentile_bound
32768,65536,600.0,ensemble_mean_l1,40,0.0022242771657397763,0.00845436133645424,0.005725783560180671,-0.002728577776273569
32768,65536,600.0,ensemble_mean_l1,60,0.003302875568746885,0.007609167700126096,0.006026921089822277,-0.0015822466103038186
32768,65536,600.0,ensemble_mean_l1,80,0.0036740861051457845,0.006751110592325914,0.005865250987161577,-0.0008858596051643372
32768,65536,600.0,ensemble_mean_l1,100,0.003275225346898246,0.006220897913994595,0.005220307670092389,-0.0010005902439022057
32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,40,0.003097099151096963,0.005118659296549553,0.0051123779400931895,-6.2813564563639e-06
32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,60,0.0015792816465909705,0.003304353773943552,0.003344827855491935,4.047408154838304e-05
32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,80,0.0019993075597001795,0.0035706337016808854,0.0035867350189560093,1.6101317275123844e-05
32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,100,0.0011968786993916602,0.002669542810162761,0.002669261225010617,-2.815851521441662e-07
32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.003538467492988046,0.009358293157096935,0.009324560241055789,-3.3732916041145575e-05
32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.001591307444072811,0.006895899058987159,0.0067417128493496535,-0.00015418620963750587
32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.002231427582281083,0.0066838649229770935,0.0066876980829593275,3.833159982234019e-06
32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0015693116556471762,0.005469316654685394,0.005493652544296923,2.4335889611529736e-05
32768,65536,1200.0,ensemble_mean_l1,40,0.004100280885391508,0.009658539247036921,0.00763651471785776,-0.0020220245291791613
32768,65536,1200.0,ensemble_mean_l1,60,0.004250817368363956,0.008260987329523493,0.006920526162420061,-0.001340461167103432
32768,65536,1200.0,ensemble_mean_l1,80,0.0032013669472210496,0.006571222968809187,0.005406807838360233,-0.001164415130448954
32768,65536,1200.0,ensemble_mean_l1,100,0.001716972726081489,0.005143157337493984,0.0036007688707778637,-0.0015423884667161202
32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,40,0.0032164171529839415,0.005774850184183753,0.00576728180014831,-7.568384035442667e-06
32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,60,0.001219344302983418,0.003400862009234751,0.003427183011171164,2.6321001936412992e-05
32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,80,0.0007243881894117759,0.0027820301722192987,0.00276788001005079,-1.4150162168508756e-05
32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,100,0.0002613320879481129,0.002299650387077313,0.0021351255951907438,-0.00016452479188656943
32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.004252399826835469,0.01231342646622654,0.012244983344995507,-6.844312123103352e-05
32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.003598163121361694,0.010992739861347177,0.010941764725006053,-5.097513634112413e-05
32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.003759145190354178,0.01015530548012682,0.010106100397656276,-4.9205082470544365e-05
32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.002898254624317985,0.008552946110233545,0.0084052416098242,-0.0001477045004093444
32768,65536,1800.0,ensemble_mean_l1,40,0.0041271787812445,0.00881994134685244,0.0072745934704015955,-0.001545347876450845
32768,65536,1800.0,ensemble_mean_l1,60,0.002573899320838081,0.0068673141625107586,0.0049919564204299795,-0.001875357742080779
32768,65536,1800.0,ensemble_mean_l1,80,0.001425633980270919,0.0054136487938915385,0.003527133364196989,-0.0018865154296945495
32768,65536,1800.0,ensemble_mean_l1,100,0.0010301634570923871,0.004332519150164682,0.002815369084780129,-0.001517150065384553
32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,40,0.003961216383168803,0.006686988130156684,0.006634655164061214,-5.233296609546967e-05
32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,60,0.002097452638482283,0.0043796978770579715,0.004398660888390341,1.8963011332369384e-05
32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,80,0.001849242555030453,0.004054281147715753,0.0040692117744245936,1.4930626708840877e-05
32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,100,0.0013144739564108854,0.0033544890988218587,0.0033422288656096374,-1.2260233212221285e-05
32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.003241353866917873,0.013213217861109702,0.013189710487782747,-2.3507373326955155e-05
32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.004776607420668396,0.014229225417870575,0.014048001592221478,-0.00018122382564909716
32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.00510088454549483,0.013309524845851982,0.013207776668750885,-0.0001017481771010964
32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.001921792312023036,0.009245470402513082,0.009019632379966004,-0.00022583802254707783
32768,65536,2400.0,ensemble_mean_l1,40,0.003372060020865623,0.009300884454165614,0.006975250008384943,-0.002325634445780671
32768,65536,2400.0,ensemble_mean_l1,60,0.0021004249609734623,0.006817282507903846,0.004777919256980257,-0.002039363250923589
32768,65536,2400.0,ensemble_mean_l1,80,0.0021414002351031382,0.006181907660889687,0.00437525018757283,-0.0018066574733168568
32768,65536,2400.0,ensemble_mean_l1,100,0.0020857004637890204,0.005552657038734622,0.004030098171175447,-0.001522558867559175
32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,40,0.004544829321498328,0.007432447496935318,0.007471311041530144,3.8863544594825924e-05
32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,60,0.0024701868868038214,0.00492507507297609,0.004964549117360873,3.9474044384783455e-05
32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,80,0.002075659182190555,0.004410167382400141,0.0044407703670699935,3.060298466985283e-05
32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,100,0.0013759805610155185,0.0035615570396567995,0.0035321119801988406,-2.944505945795886e-05
32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.011397255963671159,0.022273107930070108,0.022170951814271228,-0.00010215611579887998
32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.0001972561680394112,0.012760701307431375,0.010889257518509662,-0.001871443788921713
32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.004263042439333909,0.01358528241601202,0.013533575111743088,-5.170730426893276e-05
32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0008090266183283256,0.009998969442561043,0.00908428380974571,-0.0009146856328153333
32768,65536,3000.0,ensemble_mean_l1,40,0.00840433174929063,0.014091808649167661,0.0128513839542023,-0.0012404246949653617
32768,65536,3000.0,ensemble_mean_l1,60,0.003213355345510852,0.009270552809147856,0.006691497176509164,-0.0025790556326386917
32768,65536,3000.0,ensemble_mean_l1,80,0.004214629465109466,0.008535707838990226,0.006973412537643526,-0.0015622953013467002
32768,65536,3000.0,ensemble_mean_l1,100,0.004709922826139041,0.008276572614226943,0.007195351587657462,-0.0010812210265694813
32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,40,0.004388831493044196,0.00720602165671179,0.007276454710367884,7.043305365609428e-05
32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,60,0.0022699813061953806,0.004732131157947306,0.004763407640839769,3.1276482892463216e-05
32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,80,0.0018590219643362257,0.004221487092213025,0.00425330382047453,3.18167282615054e-05
32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,100,0.0012795593290903528,0.0034469071673693635,0.003451999354063595,5.0921866942316325e-06
32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.017895983985406122,0.032592220510314476,0.03255212177956681,-4.009873074766607e-05
32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.0066286928704559715,0.019800167290364143,0.01988121268773009,8.104539736594751e-05
32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.0008932020005953233,0.013657557057585012,0.012376183269559915,-0.0012813737880250971
32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0023424872966727,0.012596742582443124,0.012314527727850716,-0.0002822148545924084
32768,65536,3600.0,ensemble_mean_l1,40,0.007163178621859161,0.015530393725568194,0.012410286053155575,-0.003120107672412619
32768,65536,3600.0,ensemble_mean_l1,60,0.006626015339664532,0.012548688983211497,0.01063549136116363,-0.0019131976220478665
32768,65536,3600.0,ensemble_mean_l1,80,0.004956303923145371,0.009995779279125084,0.008372004227937723,-0.0016237750511873608
32768,65536,3600.0,ensemble_mean_l1,100,0.004423167085781419,0.008736916871226165,0.0072504583387991706,-0.0014864585324269944
32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,40,0.003923085036255411,0.00677195117960973,0.006822580938976807,5.062975936707698e-05
32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,60,0.0020490190235023615,0.004563143027814677,0.0045802542070260705,1.711117921139333e-05
32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,80,0.0019853002725675776,0.004450081156693111,0.004413055596724455,-3.7025559968655204e-05
32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,100,0.0014226975248670015,0.0036487909333151256,0.0036475463244247473,-1.2446088903782931e-06
32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.01449222597619002,0.03392620809137031,0.03387014076571831,-5.6067325652005284e-05
32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.006862603799924884,0.02374790934843054,0.023479209740374946,-0.0002686996080555927
32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.00020488636763982705,0.01736464930109445,0.014573627022728426,-0.0027910222783660253
32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.004719256041923263,0.017349859418386942,0.0173999723702374,5.0112951850457554e-05
65536,131072,600.0,ensemble_mean_l1,40,0.0033685835128793784,0.007106698802767326,0.006024274389044104,-0.0010824244137232226
65536,131072,600.0,ensemble_mean_l1,60,0.0029054762099240752,0.005797029287652688,0.004801488027977427,-0.0009955412596752604
65536,131072,600.0,ensemble_mean_l1,80,0.0017860798979737252,0.004459576549936426,0.0033508316960167784,-0.0011087448539196477
65536,131072,600.0,ensemble_mean_l1,100,0.002100378549530689,0.004064589098463923,0.003418416585708574,-0.000646172512755349
65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,40,5.4046029507570626e-05,0.0017784315919406473,0.0015592828318185484,-0.0002191487601220989
65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,60,0.0003614055988354459,0.0015578703949166606,0.0015189167164590938,-3.895367845756681e-05
65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,80,0.0003370879746175643,0.0013960957277179603,0.0013808580037711626,-1.5237723946797668e-05
65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,100,0.00039176421037149357,0.001364931082775713,0.0013628062989706601,-2.1247838050528125e-06
65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.00018970877781883085,0.0054457718148576174,0.004717722071020206,-0.0007280497438374115
65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.002124351124579327,0.005771668298148516,0.0058406783791338495,6.901008098533345e-05
65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.002228256726206893,0.005496725468494908,0.005474493155321902,-2.223231317300626e-05
65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0011010703347986892,0.004054223149315739,0.00404763487382269,-6.588275493048593e-06
65536,131072,1200.0,ensemble_mean_l1,40,0.0033634721872676104,0.006725899578131179,0.0058469879593749585,-0.0008789116187562203
65536,131072,1200.0,ensemble_mean_l1,60,0.0027789375387914754,0.0055253939786385755,0.004651512608623712,-0.0008738813700148633
65536,131072,1200.0,ensemble_mean_l1,80,0.0023010261238871664,0.004688586739417995,0.0038638785378835162,-0.0008247082015344792
65536,131072,1200.0,ensemble_mean_l1,100,0.002587030824325414,0.004397526255612929,0.0039218394602347625,-0.00047568679537816645
65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,40,0.0005163353664244307,0.0026102475355589054,0.002533771341699997,-7.647619385890833e-05
65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,60,0.0008997531709823406,0.0025256126616506236,0.0024696026295236164,-5.601003212700722e-05
65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,80,0.0005113524108697378,0.001964947526086857,0.0019529179456445585,-1.2029580442298599e-05
65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,100,7.071670580955925e-05,0.0015461581214120824,0.0013723805802435289,-0.0001737775411685535
65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.0022944019915670773,0.008807070849863393,0.008648569548923655,-0.00015850130093973853
65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.0056237829217571575,0.011152391858806085,0.011164901983985037,1.2510125178952572e-05
