run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,n_superdroplet_records,number_concentration_cm3,liquid_water_gm3,relative_liquid_mass_drift,radius_moment_0_m3,radius_moment_3_um3_m3,radius_moment_6_um6_m3,max_radius_um,mass_fraction_r_ge_cloud_threshold,mass_fraction_r_ge_large_threshold,mass_fraction_r_ge_onset_threshold,mass_weighted_radius_q99_um,golovin_l1_relative,golovin_fixed_bin_l1_relative_bins_250,fixed_bin_mass_below_range_fraction_bins_250,fixed_bin_mass_above_range_fraction_bins_250,golovin_fixed_bin_l1_relative_bins_500,fixed_bin_mass_below_range_fraction_bins_500,fixed_bin_mass_above_range_fraction_bins_500,golovin_fixed_bin_l1_relative_bins_1000,fixed_bin_mass_below_range_fraction_bins_1000,fixed_bin_mass_above_range_fraction_bins_1000,golovin_fixed_bin_l1_relative,fixed_bin_mass_below_range_fraction,fixed_bin_mass_above_range_fraction,golovin_analytical_radius_moment_0_m3,golovin_relative_error_radius_moment_0_m3,golovin_analytical_radius_moment_3_um3_m3,golovin_relative_error_radius_moment_3_um3_m3,golovin_analytical_radius_moment_6_um6_m3,golovin_relative_error_radius_moment_6_um6_m3
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,0.0,16384,8.388608,0.9982363474162836,0.0,8388608.0,238740390078.92203,1.3588188114267852e+16,74.99010467529297,0.3426337917221375,0.0,0.0,57.375732421875,0.06293694956276256,0.0033285650941950098,0.0,0.0,0.007120967653698126,0.0,0.0,0.01348464728023573,0.0,0.0,0.007120967653698126,0.0,0.0,8388608.0,0.0,238733292669.84543,2.972944827761559e-05,1.3588329560514944e+16,-1.0409391858035022e-05
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,300.00001192092896,16384,5.282583854800387,0.9982363472523246,-1.6424872573139737e-10,5282583.854800386,238740390039.7092,3.4646410763973652e+16,119.02313232421875,0.6389498230889895,0.0,0.0,89.02168273925781,0.051387486832508926,0.07653124539239249,0.0,0.0,0.09597310811864913,0.0,0.0,0.14671582730585075,0.0,0.0,0.09597310811864913,0.0,0.0,5348803.665523084,-0.012380303122646374,238733292669.84543,2.97292840241159e-05,3.3422009487832736e+16,0.03663457987427887
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,600.0000238418579,16384,3.3917485186918994,0.9982363470556683,-3.612524723806132e-10,3391748.5186918993,238740389992.67645,8.370877379661698e+16,169.9437713623047,0.7888233719599824,0.0,0.0,126.15465545654297,0.04242612716535271,0.08427051828716994,0.0,0.0,0.12807147771579394,0.0,0.0,0.1786667616714373,0.0,0.0,0.12807147771579394,0.0,0.0,3410542.089022777,-0.005510434951489729,238733292669.84543,2.9729087014374045e-05,8.220515356432454e+16,0.018291070171359447
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,899.9999761581421,16384,2.1593896763715805,0.9982363485130357,1.0986898058007455e-09,2159389.6763715805,238740390341.22357,2.0893513448563706e+17,224.89349365234375,0.8767232453520492,0.0,0.0,177.54110717773438,0.03173697983841855,0.07939841059189513,0.0,0.0,0.11845961817209248,0.0,0.0,0.17658790555971363,0.0,0.0,0.11845961817209248,0.0,0.0,2174654.2046287498,-0.007019289882813862,238733292669.84543,2.9730546999839902e-05,2.021926918134987e+17,0.03334661906750602
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,1200.0000476837158,16384,1.3765436411176846,0.9982363485675598,1.153310114077044e-09,1376543.6411176845,238740390354.26373,4.961258245885227e+17,300.9371337890625,0.9248290805905709,0.0,0.0,233.52374267578125,0.025559497410314987,0.08537402471092989,0.0,0.0,0.11596765410336356,0.0,0.0,0.18074018729556163,0.0,0.0,0.11596765410336356,0.0,0.0,1386618.2972187817,-0.007265630434348358,238733292669.84543,2.973060162214658e-05,4.97315526712769e+17,-0.002392248100738348
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,1500.0,16384,0.8696660430927051,0.9982363480308742,6.156763987519298e-10,869666.0430927051,238740390225.90884,1.2470949193811773e+18,426.8367614746094,0.9539826204357488,0.0,0.0,327.86956787109375,0.0247474233073656,0.0914511684629344,0.0,0.0,0.13909942527312882,0.0,0.0,0.1869226402825622,0.0,0.0,0.13909942527312882,0.0,0.0,884145.4617925527,-0.016376738133668023,238733292669.84543,2.9730063972444043e-05,1.2232026906685448e+18,0.01953251811404555
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,1799.9999523162842,16384,0.5527420761604692,0.9982363482796841,8.64925908672376e-10,552742.0761604692,238740390285.41473,3.026176315129792e+18,556.7958984375,0.9713921919904984,0.0,0.0,433.3731994628906,0.025914548676297177,0.09903390878042062,0.0,0.0,0.1300172626053284,0.0,0.0,0.18834559177684662,0.0,0.0,0.1300172626053284,0.0,0.0,563755.1438462138,-0.01953519680655691,238733292669.84543,2.973031322905939e-05,3.0086026719268946e+18,0.005841131288912393
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,2099.9999046325684,16384,0.35224948887730495,0.9982363475661126,1.5009371523433401e-10,352249.48887730495,238740390114.75537,7.634800990553163e+18,709.65869140625,0.9817822201671758,0.0,0.0,591.4109497070312,0.032244581112633966,0.09373837989672125,0.0,0.0,0.12092186393171032,0.0,0.0,0.1657307497703643,0.0,0.0,0.12092186393171032,0.0,0.0,359465.58111456485,-0.02007450119392673,238733292669.84543,2.972959837554967e-05,7.39999192822117e+18,0.03173098898074578
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,2400.0000953674316,16384,0.22486284599970208,0.9982363487144381,1.300447971530616e-09,224862.84599970208,238740390389.39142,1.8525304537278607e+19,1021.31396484375,0.98856202244548,0.0005685223434448599,0.0005685223434448599,778.8851318359375,0.03829336336073001,0.10149170358408163,0.0,0.0,0.13473432462571694,0.0,0.0,0.19495015040706537,0.0,0.0,0.13473432462571694,0.0,0.0,229204.92913507385,-0.018944108888744315,238733292669.84543,2.9730748764000836e-05,1.8201113831406539e+19,0.017811586086158515
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,2700.000047683716,16384,0.14337627576209713,0.9982363496293494,2.2169757141199398e-09,143376.27576209712,238740390608.2036,4.497315094744353e+19,1265.635498046875,0.992717034551528,0.012880435994182638,0.012880435994182638,1053.58984375,0.04352978411481262,0.13074804771345527,0.0,0.0,0.16637701011580996,0.0,0.0,0.213388933031407,0.0,0.0,0.16637701011580996,0.0,0.0,146147.28387886327,-0.018960380536821586,238733292669.84543,2.9731665319054912e-05,4.476765798748041e+19,0.004590210191933286
