lower_max_superdroplets,upper_max_superdroplets,time_s,log_radius_bins,observed_members_each_resolution,observed_estimate,observed_95ci_low,observed_95ci_high,equivalence_margin,observed_equivalence_pass,projected_required_members_each_resolution,projection_method
32768,65536,600.0,250,100,0.001917824274326651,0.0004988347152653562,0.004953538064252605,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,600.0,500,100,0.003275225346898246,0.0019768884922086016,0.006681574515727543,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,600.0,1000,100,0.003464123368647841,0.0028232845411869903,0.007972371228417005,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,1200.0,250,100,0.0016629828187726238,0.0004309745471621469,0.004593371875289452,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,1200.0,500,100,0.001716972726081489,0.0009559858266470186,0.005448231630871616,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,1200.0,1000,100,0.004083641925326589,0.0030324974448973302,0.008011734741279105,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,1800.0,250,100,0.0008042133047804993,-0.00038521137956029134,0.0037413675123347916,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,1800.0,500,100,0.0010301634570923871,0.00043550770700366803,0.0046910093309421854,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,1800.0,1000,100,0.0019231301498594897,0.001754472978116396,0.006336853499968469,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,2400.0,250,100,0.0016149215052936447,0.0003230115288249714,0.004779699387864847,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,2400.0,500,100,0.0020857004637890204,0.0012681345895394506,0.005934957379049685,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,2400.0,1000,100,0.0027198284066000545,0.0022084798043838136,0.007424270086858967,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,3000.0,250,100,0.0031110272927807993,0.0013828473291708126,0.006981455588764138,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,3000.0,500,100,0.004709922826139041,0.002912869416828418,0.008768571083254264,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,3000.0,1000,100,0.005544247791090319,0.004061011520661728,0.010519599669417304,0.01,False,125,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,3600.0,250,100,0.0025140184700543034,0.00046843130893356417,0.006937986073665253,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,3600.0,500,100,0.004423167085781419,0.002597398011295088,0.009333352342509597,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
32768,65536,3600.0,1000,100,0.008158653659233864,0.005915076923175643,0.013325020138139057,0.01,False,788,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,600.0,250,100,0.001433611879387944,0.000475150939163054,0.003527117392158994,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,600.0,500,100,0.002100378549530689,0.0012000361556719654,0.0043556036255001035,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,600.0,1000,100,0.002571989711163971,0.0019208082553534118,0.005294880703761063,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,1200.0,250,100,0.001010749274315281,0.00017600503638742827,0.003204659250007885,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,1200.0,500,100,0.002587030824325414,0.0014250329627415598,0.00466067967238111,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,1200.0,1000,100,0.002314221606866727,0.001893095747152426,0.005420363481881404,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,1800.0,250,100,0.0007363396702215162,-0.00013467409735026166,0.002979791885311876,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,1800.0,500,100,0.001354496521880532,0.0005856862186639979,0.00368503445454971,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,1800.0,1000,100,0.0027560854754364317,0.002161184426941591,0.005446214257901788,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,2400.0,250,100,0.0005775928284062568,-0.0001494584432106036,0.00297516784002276,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,2400.0,500,100,0.0013869586360599527,0.0007531157308948703,0.003967094588680099,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,2400.0,1000,100,0.002526524221147958,0.0019325067519432107,0.0055903482175279325,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,3000.0,250,100,0.001446054667052118,0.00022265510651019415,0.0042153282720397015,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,3000.0,500,100,0.0019838913310733317,0.0010265591548974612,0.005073961526507423,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,3000.0,1000,100,0.002885879218326854,0.0024357292936088865,0.0067646902181719495,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,3600.0,250,100,0.00278663180214593,0.0008585321217453255,0.005472073937167624,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,3600.0,500,100,0.002785992565845034,0.0016789182089287703,0.006228995103340736,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
65536,131072,3600.0,1000,100,0.0037428316541062816,0.0030031174400049726,0.008101772341577655,0.01,True,100,observed_95ci_scaled_by_sqrt_100_over_n
