lower_max_superdroplets,upper_max_superdroplets,time_s,log_radius_bins,projected_members_each_resolution,estimate_held_fixed,projected_95ci_low,projected_95ci_high,projected_largest_absolute_interval_edge,equivalence_margin,projected_equivalence_pass,projection_method
16384,32768,600.0,1000,800,0.007187941311465525,0.006399658719205645,0.008990987086648803,0.008990987086648803,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,1000,0.007187941311465525,0.006482879926756388,0.00880063447940697,0.00880063447940697,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,1500,0.007187941311465525,0.006612261101506346,0.008504699769175218,0.008504699769175218,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,2000,0.007187941311465525,0.0066893876251849175,0.008328287586490136,0.008328287586490136,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,2500,0.007187941311465525,0.006742021338282908,0.008207898027003006,0.008207898027003006,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,100,0.0016105810882711862,0.0003663057275843423,0.006445279343352578,0.006445279343352578,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,150,0.0016105810882711862,0.000594634510537765,0.005558095683362386,0.005558095683362386,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,200,0.0016105810882711862,0.0007307455430661815,0.005029229009430007,0.005029229009430007,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,300,0.0016105810882711862,0.0008921983738326183,0.0044018954272930415,0.0044018954272930415,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,400,0.0016105810882711862,0.0009884434079277644,0.004027930215811882,0.004027930215811882,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,600,0.0016105810882711862,0.0011026077994044756,0.003584338385816786,0.003584338385816786,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,800,0.0016105810882711862,0.0011706633156686839,0.003319905048850597,0.003319905048850597,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,1000,0.0016105810882711862,0.0012171066706513902,0.0031394469168410793,0.0031394469168410793,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,1500,0.0016105810882711862,0.0012893105716020948,0.0028588948099957387,0.0028588948099957387,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,2000,0.0016105810882711862,0.001332352659348801,0.002691652483177347,0.002691652483177347,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,250,2500,0.0016105810882711862,0.0013617260161338173,0.0025775207392874644,0.0025775207392874644,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,100,0.003487794493129538,0.0021633254534405644,0.008547424156671849,0.008547424156671849,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,150,0.003487794493129538,0.0024063700506788623,0.007618964814172335,0.007618964814172335,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,200,0.003487794493129538,0.00255125345369383,0.007065492938512916,0.007065492938512916,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,300,0.003487794493129538,0.002723111936531784,0.006408973041375506,0.006408973041375506,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,400,0.003487794493129538,0.002825559973285051,0.006017609324900693,0.006017609324900693,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,600,0.003487794493129538,0.0029470822719042,0.005553379653650936,0.005553379653650936,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,800,0.003487794493129538,0.003019523973411684,0.005276643715821227,0.005276643715821227,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,1000,0.003487794493129538,0.003068960607550227,0.005087789878504048,0.005087789878504048,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,500,1500,0.003487794493129538,0.0031458180575773564,0.0047941852547879645,0.0047941852547879645,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
