run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m019,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,19,19,not_applicable,15645594162331661612,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.8020782643901612e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m020,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,20,20,not_applicable,792003331605908582,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.6299795957408492e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m021,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,21,21,not_applicable,602348395266704468,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.197665104399562e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m022,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,22,22,not_applicable,7792262706103351803,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.063682501609378e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m023,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,23,23,not_applicable,2221252669297334737,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.7303705962822278e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m024,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,24,24,not_applicable,1296093832760319784,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.2296711144065284e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m025,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,25,25,not_applicable,7058954282744420458,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.84052892318698e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m026,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,26,26,not_applicable,2247145968725594224,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.7857376405648893e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m027,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,27,27,not_applicable,7649999342768085010,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.6227524596578178e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m028,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,28,28,not_applicable,14220105908739365407,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.134950743444165e-09,1000.0,0.99
