run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,n_superdroplet_records,number_concentration_cm3,liquid_water_gm3,relative_liquid_mass_drift,radius_moment_0_m3,radius_moment_3_um3_m3,radius_moment_6_um6_m3,max_radius_um,mass_fraction_r_ge_40um,mass_fraction_r_ge_large_threshold,mass_fraction_r_ge_1000um,mass_weighted_radius_q99_um,golovin_l1_relative,golovin_fixed_bin_l1_relative,fixed_bin_mass_below_range_fraction,fixed_bin_mass_above_range_fraction,golovin_analytical_radius_moment_0_m3,golovin_relative_error_radius_moment_0_m3,golovin_analytical_radius_moment_3_um3_m3,golovin_relative_error_radius_moment_3_um3_m3,golovin_analytical_radius_moment_6_um6_m3,golovin_relative_error_radius_moment_6_um6_m3
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,0.0,1024,8.388608,0.9980267650094548,0.0,8388607.999999999,238690265891.7097,1.3585334690390476e+16,74.88119506835938,0.34246798630491576,0.0,0.0,57.486968994140625,0.1669444180754074,0.08968875363263397,0.0,0.0,8388608.0,-1.1102230246251565e-16,238733292669.84543,-0.00018022948393392468,1.3588329560514944e+16,-0.00022040016847768573
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,300.00001192092896,1024,5.328554284805638,0.9980267690333484,4.031849520913511e-09,5328554.284805638,238690266854.0729,3.1499083329388244e+16,105.821044921875,0.6507940117305698,0.0,0.0,84.43161010742188,0.06168638446511928,0.43160932129450047,0.0,0.0,5348803.665523084,-0.0037857775277803096,238733292669.84543,-0.00018022545281115576,3.3422009487832736e+16,-0.0575347260057637
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,600.0000238418579,1024,3.558377766965789,0.9980267714104226,6.413623410139735e-09,3558377.766965789,238690267422.5792,7.74681513596539e+16,141.43789672851562,0.7984292426202554,0.0,0.0,118.30628967285156,0.09084716206058628,0.4795962049305548,0.0,0.0,3410542.089022777,0.04334668040568612,238733292669.84543,-0.00018022307146636773,8.220515356432454e+16,-0.057624151276160496
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,899.9999761581421,1024,2.2666609342081467,0.9980267768974944,1.1911543973397443e-08,2266660.9342081468,238690268734.8793,1.9288367632575418e+17,191.12808227539062,0.87665243413602,0.0,0.0,179.21351623535156,0.11079990781100077,0.49828690673018117,0.0,0.0,2174654.2046287498,0.04230867113657011,238733292669.84543,-0.00018021757453667853,2.021926918134987e+17,-0.046040316315344776
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,1200.0000476837158,1024,1.3575142669420648,0.9980267800908127,1.511117586616706e-08,1357514.2669420647,238690269498.60028,4.946810620956917e+17,267.1448059082031,0.9326905277893681,0.0,0.0,247.53562927246094,0.1106809742086338,0.5431310412946806,0.0,0.0,1386618.2972187817,-0.020989215514530923,238733292669.84543,-0.00018021437548154662,4.97315526712769e+17,-0.005297370533534296
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,1500.0,1024,0.861906441401909,0.9980267715739606,6.5774847790578406e-09,861906.441401909,238690267461.69128,1.2385823371202588e+18,338.0771179199219,0.9579613085597729,0.0,0.0,320.1780700683594,0.09310850198077854,0.4693644607139252,0.0,0.0,884145.4617925527,-0.025153123950390932,238733292669.84543,-0.00018022290763464177,1.2232026906685448e+18,0.012573260808728559
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,1799.9999523162842,1024,0.5634902222680975,0.9980267720577944,7.062275209079871e-09,563490.2222680976,238690267577.40607,2.673330505696014e+18,423.80181884765625,0.9725114983709038,0.0,0.0,394.42449951171875,0.058511025196331015,0.508014015240665,0.0,0.0,563755.1438462138,-0.00046992312355476074,238733292669.84543,-0.00018022242293147528,3.0086026719268946e+18,-0.11143783436719201
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,2099.9999046325684,1024,0.36007322762839183,0.9980267711787444,6.181487099965466e-09,360073.2276283918,238690267367.1705,6.018765585159538e+18,585.7893676757812,0.9823926388047199,0.0,0.0,567.528076171875,0.1343188207756333,0.4993559028570867,0.0,0.0,359465.58111456485,0.0016904164007660594,238733292669.84543,-0.00018022330356093352,7.39999192822117e+18,-0.1866524121187325
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,2400.0000953674316,1024,0.23380435811763203,0.9980267800068843,1.5027081579077617e-08,233804.35811763204,238690269478.52774,1.4327412221643518e+19,869.9483032226562,0.988736615925273,0.0,0.0,784.5118408203125,0.15975958372429366,0.6064682483448819,0.0,0.0,229204.92913507385,0.020066885122909772,238733292669.84543,-0.0001802144595608457,1.8201113831406539e+19,-0.2128277228330301
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,2700.000047683716,1024,0.15228220746622267,0.9980267756409684,1.0652533521948726e-08,152282.20746622267,238690268434.36575,2.8267553503394255e+19,989.2267456054688,0.992915419936742,0.0,0.0,969.4166259765625,0.24500079757814686,0.6102422410375252,0.0,0.0,146147.28387886327,0.0419776777544798,238733292669.84543,-0.0001802188333203114,4.476765798748041e+19,-0.3685719831200579
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,3000.0,1024,0.09746187661123874,0.9980267714407625,6.444023314955416e-09,97461.87661123874,238690267429.8353,6.492679293841214e+19,1226.744873046875,0.9955222087738523,0.07057718841711588,0.07057718841711588,1226.744873046875,0.2931417165448697,0.6712392565128198,0.0,0.0,93187.47491936282,0.04586884337808961,238733292669.84543,-0.00018022304107212506,1.1011101959187887e+20,-0.41035154175249544
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,3299.999952316284,1024,0.06163107057794748,0.9980267702666403,5.2675797057588625e-09,61631.07057794748,238690267149.0297,1.574043776807112e+20,1673.5335693359375,0.9971890695645323,0.2128285946766998,0.2128285946766998,1673.5335693359375,0.2543998253555527,0.7019393901701174,0.0,0.0,59418.863295774216,0.03723072370404279,238733292669.84543,-0.00018022421730357063,2.7083026409274727e+20,-0.41880801908162224
golovin_stage0_development_N001024_dt1_m000,golovin,golovin_stage0_development,operational_stochastic,0,0,2647907423,16394419086637823225,1024,1.0,300.0,3600.0,3599.9999046325684,1024,0.03993276099899073,0.9980267687457856,3.743718002269247e-09,39932.76099899073,238690266785.29877,3.660339800828505e+20,2429.05712890625,0.9981630380014878,0.4239117703522043,0.4239117703522043,2216.528076171875,0.22574417144621722,0.6855920541595922,0.0,0.0,37887.079979546696,0.05399415897314852,238733292669.84543,-0.00018022574089049392,6.661370698447075e+20,-0.45051251964076744
